
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,David Robinson,24,82,81,3002,8.3,15.6,.531,0.0,0.0,.000,8.3,15.6,.532,7.4,10.0,.732,3.6,8.2,11.8,2.0,1.7,3.8,3.1,3.1,23.9
2,Terry Cummings,28,81,78,2821,9.3,19.6,.475,0.2,0.8,.322,9.0,18.8,.481,4.4,5.6,.780,2.9,5.8,8.6,2.8,1.4,0.7,2.6,3.6,23.2
3,Willie Anderson,23,82,81,2788,6.9,14.0,.492,0.1,0.3,.269,6.8,13.6,.497,2.8,3.7,.748,1.5,3.3,4.8,4.7,1.4,0.7,2.6,3.3,16.6
4,Sean Elliott,21,81,69,2032,5.5,11.5,.481,0.0,0.2,.111,5.5,11.3,.486,3.3,3.8,.866,2.3,3.0,5.3,2.7,0.8,0.2,2.0,3.0,14.4
5,David Wingate,26,78,2,1856,4.3,9.5,.448,0.0,0.3,.000,4.3,9.3,.460,1.7,2.2,.777,1.2,2.6,3.8,4.0,1.7,0.3,2.5,3.0,10.2
6,Maurice Cheeks,33,50,49,1766,4.4,9.2,.478,0.0,0.2,.111,4.4,9.0,.485,2.3,2.8,.832,0.8,2.6,3.4,6.2,1.7,0.1,1.7,0.9,11.1
7,Frank Brickowski,30,78,12,1438,5.3,9.7,.545,0.0,0.1,.000,5.3,9.6,.548,2.4,3.5,.674,2.2,6.0,8.2,2.6,1.7,0.9,2.3,5.7,12.9
8,Rod Strickland,23,31,24,1121,5.6,11.9,.468,0.1,0.3,.222,5.5,11.6,.474,2.9,4.8,.615,1.5,2.8,4.3,8.0,1.8,0.2,2.7,2.9,14.1
9,Vernon Maxwell,24,49,2,1118,4.3,9.9,.435,0.5,1.7,.288,3.8,8.2,.465,1.9,3.1,.621,1.1,3.4,4.5,4.7,1.4,0.2,2.3,2.5,10.9
10,Caldwell Jones,39,72,2,885,2.7,5.9,.465,0.0,0.2,.200,2.7,5.7,.475,1.5,2.2,.704,3.1,6.3,9.4,0.8,0.8,1.1,2.0,5.9,7.0
11,Johnny Moore,31,53,8,516,3.3,8.8,.373,0.6,2.4,.235,2.7,6.4,.424,1.1,1.9,.593,1.1,2.5,3.6,5.7,2.2,0.2,2.7,3.8,8.2
12,Zarko Paspalj,23,28,1,181,5.4,15.7,.342,0.0,0.2,.000,5.4,15.5,.346,3.6,4.4,.818,3.0,3.0,6.0,2.0,0.6,1.4,4.2,7.4,14.3
13,Reggie Williams,25,10,0,68,10.1,22.2,.452,0.0,2.6,.000,10.1,19.6,.514,2.1,3.2,.667,1.6,2.6,4.2,2.6,0.5,1.6,2.1,8.5,22.2
14,Chris Welp,26,13,1,56,4.5,14.8,.304,0.0,0.0,,4.5,14.8,.304,0.6,1.3,.500,4.5,3.2,7.7,3.2,0.6,0.0,3.9,13.5,9.6
15,Uwe Blab,27,7,0,50,4.3,7.9,.545,0.0,0.0,,4.3,7.9,.545,2.2,4.3,.500,0.7,5.8,6.5,0.7,0.0,0.0,3.6,6.5,10.8
16,Jeff Lebo,23,4,0,32,2.3,7.9,.286,0.0,0.0,,2.3,7.9,.286,2.3,2.3,1.000,2.3,2.3,4.5,3.4,2.3,0.0,1.1,7.9,6.8
