
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
40,Willie Anderson,SG,6-7,190,January 8 1967,1,University of Georgia
33,Uwe Blab,C,7-1,252,March 26 1962,4,Indiana University
43,Frank Brickowski,C,6-9,240,August 14 1959,5,Pennsylvania State University
10,Maurice Cheeks,PG,6-1,180,September 8 1956,11,West Texas A&amp;M University
34,Terry Cummings,PF,6-9,220,March 15 1961,7,DePaul University
32,Sean Elliott,SF,6-8,205,February 2 1968,R,University of Arizona
27,Caldwell Jones,PF,6-11,217,August 4 1950,16,Albany State University
12,Jeff Lebo,SG,6-2,180,October 5 1966,R,University of North Carolina
11,Vernon Maxwell,SG,6-4,180,September 12 1965,1,University of Florida
00,Johnny Moore,PG,6-1,175,March 3 1958,8,University of Texas at Austin
14,Zarko Paspalj,SF,6-9,215,March 27 1966,R,
50,David Robinson,C,7-1,235,August 6 1965,R,United States Naval Academy
1,Rod Strickland,PG,6-3,175,July 11 1966,1,DePaul University
42,Chris Welp,C,7-0,245,January 2 1964,2,University of Washington
2,Reggie Williams,SF,6-7,190,March 5 1964,2,Georgetown University
25,David Wingate,SG,6-5,185,December 15 1963,3,Georgetown University
