
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,David Robinson,28,80,80,3241,13.8,27.2,.507,0.2,0.5,.345,13.6,26.8,.510,11.4,15.2,.749,4.0,10.1,14.1,6.3,2.3,4.4,4.2,3.7,39.2,,119,98
2,Dennis Rodman,32,79,51,2989,2.8,5.2,.534,0.1,0.4,.208,2.7,4.8,.563,0.9,1.8,.520,8.1,16.3,24.4,3.3,0.9,0.6,2.5,4.1,6.6,,116,100
3,Dale Ellis,33,77,75,2590,9.8,19.9,.494,2.7,6.8,.395,7.1,13.1,.546,1.7,2.2,.776,1.4,3.8,5.2,1.6,1.4,0.2,1.5,2.9,24.1,,119,108
4,Willie Anderson,27,80,79,2488,8.4,17.9,.471,0.5,1.5,.324,8.0,16.5,.484,3.1,3.7,.848,1.5,3.7,5.2,7.4,1.5,1.0,3.3,4.0,20.4,,109,107
5,Vinny Del Negro,27,77,56,1949,8.4,17.3,.487,0.4,1.2,.349,8.0,16.2,.497,3.8,4.6,.824,0.7,3.7,4.4,8.7,1.7,0.0,2.8,4.6,21.1,,115,108
6,Negele Knight,26,64,18,1430,8.3,17.5,.476,0.1,0.8,.190,8.2,16.8,.489,5.3,6.5,.810,1.0,2.8,3.8,7.3,1.3,0.4,3.5,4.5,22.1,,110,109
7,J.R. Reid,25,70,11,1344,10.3,21.0,.491,0.0,0.1,.000,10.3,20.9,.493,4.2,6.1,.699,3.6,5.1,8.7,2.9,1.7,1.0,3.3,6.5,24.8,,106,106
8,Terry Cummings,32,59,29,1133,8.6,20.1,.428,0.0,0.1,.000,8.6,20.0,.430,3.0,5.0,.589,6.2,7.8,14.0,2.4,1.5,0.6,2.8,6.4,20.2,,100,105
9,Lloyd Daniels,26,65,5,980,7.6,20.2,.376,2.4,6.8,.352,5.2,13.4,.389,2.5,3.5,.719,2.4,3.6,6.0,5.1,1.6,0.9,3.3,3.8,20.1,,99,107
10,Sleepy Floyd,33,53,2,737,5.1,15.1,.335,0.6,2.6,.222,4.5,12.5,.358,3.8,5.6,.667,0.7,4.3,5.1,7.3,0.9,0.6,4.4,5.1,14.5,,86,108
11,Antoine Carr,32,34,0,465,8.9,18.3,.488,0.0,0.1,.000,8.9,18.2,.491,4.8,6.6,.724,1.4,4.5,5.8,1.7,1.0,2.5,1.7,8.6,22.7,,112,106
12,Chris Whitney,22,40,4,339,3.9,12.9,.305,1.6,4.7,.333,2.4,8.2,.288,1.9,2.4,.800,0.8,3.8,4.6,8.3,1.7,0.2,5.8,8.3,11.3,,80,107
13,Jack Haley,30,28,0,94,11.9,27.2,.438,0.0,0.0,,11.9,27.2,.438,9.6,11.9,.810,3.4,10.2,13.6,0.6,0.0,0.0,5.7,10.2,33.4,,98,106
14,Chuck Nevitt,34,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,159.8,319.6,.500,53.3,0.0,53.3,0.0,0.0,0.0,53.3,53.3,159.8,,94,110
