
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Avery Johnson,30,82,3084,16.3,.534,.035,.295,1.4,5.9,3.7,39.1,2.0,0.5,16.3,17.5,,5.6,3.5,9.1,.141,,0.6,-1.1,-0.4,1.2
2,David Robinson,30,82,3019,29.4,.589,.007,.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,,11.1,7.2,18.3,.290,,4.3,4.9,9.2,8.5
3,Sean Elliott,27,77,2901,16.3,.585,.348,.375,2.8,12.1,7.6,11.8,1.2,0.8,13.1,23.4,,4.1,3.6,7.7,.128,,2.0,0.0,2.0,2.9
4,Vinny Del Negro,29,82,2766,15.6,.564,.156,.222,1.5,9.1,5.5,18.3,1.6,0.2,8.6,18.8,,5.2,3.2,8.3,.144,,1.5,0.1,1.6,2.5
5,Chuck Person,31,80,2131,13.6,.581,.657,.148,4.1,16.9,10.8,7.2,1.2,0.9,10.8,17.8,,2.4,3.1,5.5,.125,,1.8,0.1,1.9,2.1
6,Will Perdue,30,80,1396,13.7,.535,.003,.378,14.5,23.8,19.3,3.5,1.0,3.8,18.2,15.2,,0.7,2.7,3.4,.118,,-3.0,1.8,-1.2,0.3
7,Doc Rivers,34,78,1235,9.6,.489,.472,.221,2.8,9.4,6.2,14.1,3.0,1.2,15.2,13.7,,0.2,2.0,2.2,.087,,-1.3,2.0,0.7,0.9
8,Charles Smith,30,32,826,13.7,.493,.000,.211,10.4,16.6,13.6,6.8,2.0,2.5,12.7,19.4,,0.2,1.5,1.7,.096,,-2.3,2.1,-0.2,0.4
9,J.R. Reid,27,32,643,8.6,.514,.006,.530,6.3,14.7,10.7,3.2,2.0,1.1,19.5,17.6,,-0.4,1.0,0.6,.048,,-4.7,0.9,-3.8,-0.3
10,Cory Alexander,22,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-3.1,-1.6,-4.7,-0.4
11,Carl Herrera,29,44,393,4.7,.407,.010,.175,8.9,13.9,11.5,5.9,1.2,1.5,21.7,15.3,,-0.7,0.5,-0.2,-0.020,,-6.3,0.9,-5.4,-0.3
12,Greg Anderson,31,46,344,7.7,.466,.021,.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,,-0.3,0.7,0.4,.056,,-5.6,3.8,-1.9,0.0
13,Brad Lohaus,31,32,273,11.0,.550,.677,.031,2.1,11.0,6.7,9.5,0.4,1.8,8.5,17.5,,0.3,0.3,0.5,.096,,0.2,-1.5,-1.4,0.0
14,Monty Williams,24,17,122,8.7,.478,.022,.261,10.5,10.5,10.5,5.2,1.7,1.2,20.2,23.7,,-0.2,0.2,0.0,-0.014,,-5.8,-1.0,-6.7,-0.1
15,Dell Demps,25,16,87,17.1,.655,.061,.515,2.7,8.6,5.8,15.9,1.8,0.8,22.9,27.1,,0.1,0.1,0.2,.105,,-1.5,-1.4,-2.9,0.0
