
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Norm Nixon,28,82,82,3053,9.1,19.7,.462,0.2,0.7,.239,9.0,19.0,.471,3.2,4.2,.760,0.9,2.3,3.2,14.2,1.5,0.1,4.0,2.8,21.6,,111,115
2,Terry Cummings,22,81,80,2907,12.0,24.3,.494,0.0,0.0,.000,12.0,24.3,.495,6.2,8.6,.720,5.3,7.4,12.7,2.3,1.5,0.9,3.6,4.9,30.3,,112,111
3,James Donaldson,26,82,67,2525,6.8,11.4,.596,0.0,0.0,,6.8,11.4,.596,4.7,6.1,.761,3.1,9.1,12.2,1.7,0.8,2.6,3.2,4.0,18.2,,117,110
4,Greg Kelser,26,80,21,1783,8.3,16.1,.519,0.1,0.2,.333,8.3,15.9,.521,6.7,9.5,.702,5.0,5.4,10.4,2.4,1.8,0.8,5.2,6.6,23.4,,106,112
5,Craig Hodges,23,76,28,1571,7.8,17.3,.450,0.3,1.4,.217,7.5,15.9,.471,2.0,2.7,.750,0.7,1.9,2.6,3.5,1.8,0.0,2.6,5.0,17.9,,100,115
6,Bill Walton,31,55,46,1476,9.3,16.7,.556,0.0,0.1,.000,9.3,16.6,.558,3.0,5.0,.597,4.2,11.1,15.3,5.9,1.4,2.8,5.7,4.9,21.5,,102,107
7,Michael Brooks,25,47,30,1405,7.2,15.0,.479,0.0,0.2,.000,7.2,14.9,.484,3.5,5.1,.689,4.8,6.8,11.6,3.0,1.7,0.5,2.6,4.2,17.9,,110,112
8,Derek Smith,22,61,20,1297,8.7,16.0,.546,0.0,0.2,.167,8.7,15.7,.551,4.5,6.0,.755,2.0,4.2,6.2,3.0,1.2,0.8,2.9,6.0,22.0,,116,114
9,Ricky Pierce,24,69,35,1280,9.9,21.1,.470,0.0,0.3,.000,9.9,20.8,.478,5.5,6.4,.861,2.2,2.8,5.0,2.2,1.0,0.5,3.0,5.3,25.4,,109,115
10,Jerome Whitehead,27,70,1,921,7.4,15.2,.490,0.0,0.0,,7.4,15.2,.490,4.5,5.5,.822,4.8,7.8,12.6,1.0,0.9,0.6,3.0,8.2,19.4,,111,112
11,Billy McKinney,28,80,0,843,7.7,17.2,.446,0.0,0.1,.000,7.7,17.1,.449,2.2,2.6,.848,0.4,2.6,3.0,9.1,1.5,0.0,2.7,4.7,17.5,,107,115
12,Hank McDowell,24,57,0,611,6.6,15.3,.431,0.0,0.2,.000,6.6,15.1,.438,3.0,4.4,.679,4.9,7.1,12.0,2.9,1.1,0.2,3.8,6.0,16.2,,97,113
13,Rory White,24,6,0,19,10.0,22.5,.444,0.0,0.0,,10.0,22.5,.444,0.0,0.0,,5.0,5.0,10.0,0.0,0.0,0.0,2.5,7.5,20.0,,96,116
14,Hutch Jones,24,4,0,18,0.0,7.9,.000,0.0,0.0,,0.0,7.9,.000,2.6,10.5,.250,0.0,0.0,0.0,0.0,2.6,0.0,5.3,0.0,2.6,,17,115
15,Linton Townes,24,2,0,17,8.4,19.5,.429,0.0,0.0,,8.4,19.5,.429,0.0,0.0,,0.0,2.8,2.8,2.8,2.8,5.6,2.8,8.4,16.8,,88,107
16,Kevin Loder,24,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,,,119
