
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Michael Brooks,SF,6-7,220,August 17 1958,3,La Salle University
34,Terry Cummings,PF,6-9,220,March 15 1961,1,DePaul University
40,James Donaldson,C,7-2,275,August 16 1957,3,Washington State University
24,Craig Hodges,SG,6-2,190,June 27 1960,1,California State University Long Beach
22,Hutch Jones,SF,6-8,190,September 1 1959,1,Vanderbilt University
20,Greg Kelser,SF,6-7,190,September 17 1957,4,Michigan State University
9,Kevin Loder,SF,6-6,205,March 15 1959,2,Alabama State University
8,Hank McDowell,PF,6-9,215,November 13 1959,2,University of Memphis
1,Billy McKinney,PG,6-0,160,June 5 1955,5,Northwestern University
10,Norm Nixon,PG,6-2,170,October 11 1955,6,Duquesne University
25,Ricky Pierce,SG,6-4,205,August 19 1959,1,Rice University
18,Derek Smith,SG,6-6,205,November 1 1961,1,University of Louisville
9,Linton Townes,SF,6-7,190,November 30 1959,1,James Madison University
32,Bill Walton,C,6-11,210,November 5 1952,6,University of California Los Angeles
12,Rory White,SF,6-8,210,August 16 1959,1,University of South Alabama
33,Jerome Whitehead,C,6-10,220,September 30 1956,5,Marquette University
