
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
32,Don Adams,SF,6-6,210,November 27 1947,R,Northwestern University
34,John Block,PF,6-9,207,April 16 1944,4,University of Southern California
21,Johnny Egan,PG,5-11,180,January 31 1939,9,Providence College
11,Elvin Hayes,C,6-9,235,November 17 1945,2,University of Houston
7,Toby Kimball,PF,6-6,220,September 7 1942,4,University of Connecticut
22,Stu Lantz,SG,6-3,175,July 13 1946,2,University of Nebraska
23,Calvin Murphy,PG,5-9,165,May 9 1948,R,Niagara University
54,Curtis Perry,C,6-7,220,September 13 1948,R,Missouri State University
20,Larry Siegfried,PG,6-3,190,May 22 1939,7,Ohio State University
45,Rudy Tomjanovich,PF,6-8,218,November 24 1948,R,University of Michigan
31,John Trapp,SF,6-7,210,October 2 1945,2,University of Nevada Las Vegas
35,Bernie Williams,SG,6-3,175,December 30 1945,1,La Salle University
