
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
40,John Brisker,SG,6-5,210,June 15 1947,5,University of Toledo
32,Fred Brown,SG,6-3,182,August 7 1948,3,University of Iowa
16,Tom Burleson,C,7-2,225,February 24 1952,R,North Carolina State University
21,Archie Clark,PG,6-2,175,July 15 1941,8,University of Minnesota
25,Rod Derline,SG,6-0,175,March 11 1952,R,Seattle University
31,Jim Fox,C,6-10,230,April 7 1943,7,University of South Carolina
11,Leonard Gray,PF,6-8,240,December 19 1951,R,California State University Long Beach
24,Spencer Haywood,PF,6-8,225,April 22 1949,5,University of Detroit Mercy
42,John Hummer,PF,6-9,230,May 4 1948,4,Princeton University
30,Wardell Jackson,SF,6-7,200,July 18 1951,R,Ohio State University
43,Kenny McIntosh,SF,6-7,225,January 21 1949,3,Eastern Michigan University
22,Tal Skinner,SF,6-5,195,September 10 1952,R,University of Maryland Eastern Shore
20,Dean Tolson,PF,6-8,190,November 25 1951,R,University of Arkansas
13,Slick Watts,PG,6-1,175,July 22 1951,1,Xavier University of Louisiana
