
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ricky Pierce,32,78,78,2658,620,1306,.475,33,123,.268,587,1183,.496,.487,417,455,.916,93,140,233,241,86,20,189,213,1690
2,Gary Payton,23,81,79,2549,331,734,.451,3,23,.130,328,711,.461,.453,99,148,.669,123,172,295,506,147,21,174,248,764
3,Michael Cage,30,82,69,2461,307,542,.566,0,5,.000,307,537,.572,.566,106,171,.620,266,462,728,92,99,55,78,237,720
4,Eddie Johnson,32,81,19,2366,534,1164,.459,27,107,.252,507,1057,.480,.470,291,338,.861,118,174,292,161,55,11,130,199,1386
5,Benoit Benjamin,27,63,61,1941,354,740,.478,0,2,.000,354,738,.480,.478,171,249,.687,130,383,513,76,39,118,175,185,879
6,Shawn Kemp,22,64,23,1808,362,718,.504,0,3,.000,362,715,.506,.504,270,361,.748,264,401,665,86,70,124,156,261,994
7,Derrick McKey,25,52,44,1757,285,604,.472,19,50,.380,266,554,.480,.488,188,222,.847,95,173,268,120,61,47,114,142,777
8,Nate McMillan,27,72,30,1652,177,405,.437,27,98,.276,150,307,.489,.470,54,84,.643,92,160,252,359,129,29,112,218,435
9,Dana Barros,24,75,1,1331,238,493,.483,83,186,.446,155,307,.505,.567,60,79,.759,17,64,81,125,51,4,56,84,619
10,Tony Brown,31,35,2,401,63,160,.394,12,41,.293,51,119,.429,.431,30,37,.811,23,33,56,32,18,4,21,51,168
11,Marty Conlon,24,45,1,381,48,101,.475,0,0,,48,101,.475,.475,24,32,.750,33,36,69,12,9,7,27,40,120
12,Bart Kofoed,27,44,0,239,25,53,.472,1,7,.143,24,46,.522,.481,15,26,.577,6,20,26,51,2,2,20,26,66
13,Rich King,22,40,2,213,27,71,.380,0,1,.000,27,70,.386,.380,34,45,.756,20,29,49,12,4,5,18,42,88
14,Quintin Dailey,31,11,1,98,9,37,.243,0,1,.000,9,36,.250,.243,13,16,.813,2,10,12,4,5,1,10,6,31
,Team Totals,,82,,19855,3380,7128,.474,205,647,.317,3175,6481,.490,.489,1772,2263,.783,1282,2257,3539,1877,775,448,1323,1952,8737
