
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Gary Payton,26,82,82,3015,11.4,22.4,.509,1.2,3.9,.302,10.3,18.6,.553,4.2,5.8,.716,1.8,2.9,4.7,9.7,3.4,0.2,3.4,3.4,28.2,,118,107
2,Detlef Schrempf,32,82,82,2886,9.1,17.4,.523,1.6,3.2,.514,7.5,14.2,.525,7.6,9.1,.839,2.4,6.5,8.8,5.4,1.6,0.6,3.1,4.4,27.4,,127,108
3,Shawn Kemp,25,82,79,2679,10.2,18.7,.547,0.0,0.1,.286,10.2,18.6,.548,8.2,11.0,.749,6.0,10.8,16.8,2.8,1.9,2.3,4.9,6.3,28.7,,115,102
4,Sam Perkins,33,82,37,2356,7.4,15.8,.466,2.9,7.3,.397,4.5,8.5,.526,4.6,5.7,.799,2.0,6.4,8.5,2.9,1.5,1.0,1.6,4.0,22.3,,126,108
5,Kendall Gill,26,73,58,2125,9.3,20.3,.457,1.5,4.0,.368,7.8,16.3,.479,3.7,4.9,.742,2.3,4.5,6.9,4.5,2.8,0.7,3.3,4.4,23.7,,107,107
6,Nate McMillan,30,80,18,2070,4.0,9.6,.418,1.3,3.8,.342,2.7,5.9,.467,0.8,1.4,.586,1.6,5.8,7.3,10.2,4.0,1.3,3.1,6.7,10.2,,109,103
7,Vincent Askew,28,71,1,1721,7.2,14.7,.492,0.9,2.7,.330,6.3,12.0,.529,5.1,7.0,.739,1.9,3.4,5.3,5.1,1.4,0.4,2.5,5.6,20.5,,118,111
8,Sarunas Marciulionis,30,66,4,1194,9.1,19.2,.473,1.5,3.7,.402,7.6,15.6,.489,6.1,8.3,.732,0.7,2.1,2.9,4.6,3.0,0.1,4.1,5.3,25.8,,106,108
9,Ervin Johnson,27,64,30,907,4.7,10.6,.443,0.0,0.1,.000,4.7,10.6,.445,1.6,2.5,.630,5.6,10.4,16.0,0.9,0.9,3.7,3.0,9.0,11.0,,96,103
10,Bill Cartwright,37,29,19,430,3.2,8.1,.391,0.0,0.0,,3.2,8.1,.391,1.8,2.8,.625,2.9,7.2,10.2,1.2,0.7,0.4,2.1,8.2,8.1,,91,109
11,Byron Houston,25,39,0,258,9.5,20.9,.458,1.2,4.3,.273,8.4,16.6,.506,5.5,7.4,.737,3.9,6.8,10.7,1.2,2.5,1.0,3.9,9.7,25.7,,103,105
12,Steve Scheffler,27,18,0,102,5.9,11.3,.522,0.0,0.0,,5.9,11.3,.522,7.4,8.9,.833,3.9,7.4,11.3,2.0,1.0,1.0,1.5,4.4,19.2,,134,108
13,Dontonio Wingfield,20,20,0,81,11.2,31.7,.353,1.2,7.4,.167,9.9,24.2,.410,5.0,6.2,.800,6.8,11.8,18.6,1.9,3.1,1.9,5.0,9.3,28.6,,89,99
14,Rich King,25,2,0,6,0.0,16.8,.000,0.0,0.0,,0.0,16.8,.000,0.0,16.8,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,,0,116
