
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,Greg Anthony,PG,6-0,176,November 15 1967,6,University of Nevada Las Vegas
42,Vin Baker,C,6-11,232,November 23 1971,4,University of Hartford
4,James Cotton,SG,6-5,220,December 14 1975,R,California State University Long Beach
9,Dale Ellis,SF,6-7,205,August 6 1960,14,University of Tennessee
33,Hersey Hawkins,SG,6-3,190,September 29 1966,9,Bradley University
44,Stephen Howard,SF,6-9,225,July 15 1970,3,DePaul University
7,Jerome Kersey,SF,6-7,215,June 26 1962,13,Longwood University
22,Jim McIlvaine,C,7-1,240,July 30 1972,3,Marquette University
10,Nate McMillan,SG,6-5,195,August 3 1964,11,North Carolina State University
20,Gary Payton,PG,6-4,180,July 23 1968,7,Oregon State University
14,Sam Perkins,PF,6-9,235,June 14 1961,13,University of North Carolina
11,Detlef Schrempf,SF,6-9,214,January 21 1963,12,University of Washington
13,Eric Snow,PG,6-3,190,April 24 1973,2,Michigan State University
15,Aaron Williams,PF,6-9,220,October 2 1971,3,Xavier University
25,David Wingate,SG,6-5,185,December 15 1963,11,Georgetown University
52,George Zidek,C,7-0,250,August 2 1973,2,University of California Los Angeles
