
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Nate Thurmond,29,82,3351,18.5,.501,,.386,,,14.8,11.1,,,,,,3.8,3.4,7.2,.103,,,,,
2,Jerry Lucas,30,80,3251,20.6,.544,,.294,,,17.1,13.2,,,,,,6.8,3.8,10.5,.156,,,,,
3,Jeff Mullins,28,75,2909,17.1,.533,,.274,,,5.2,17.3,,,,,,6.2,2.0,8.2,.135,,,,,
4,Ron Williams,26,82,2809,14.6,.515,,.401,,,3.8,23.6,,,,,,3.9,2.2,6.1,.104,,,,,
5,Joe Ellis,26,80,2275,10.7,.437,,.226,,,9.9,9.8,,,,,,-1.4,1.8,0.5,.010,,,,,
6,Bob Portman,23,68,1395,12.1,.490,,.219,,,10.1,6.7,,,,,,0.9,1.1,1.9,.066,,,,,
7,Clyde Lee,26,82,1392,14.8,.484,,.465,,,18.0,6.1,,,,,,0.7,1.5,2.2,.075,,,,,
8,Nick Jones,25,81,1183,11.4,.476,,.289,,,4.1,13.9,,,,,,0.5,0.7,1.3,.051,,,,,
9,Al Attles,34,34,321,8.6,.472,,.759,,,5.5,22.4,,,,,,0.1,0.3,0.4,.057,,,,,
10,Adrian Smith,34,21,247,14.2,.518,,.461,,,4.3,16.8,,,,,,0.4,0.2,0.5,.105,,,,,
11,Levi Fontaine,22,35,210,12.1,.415,,.255,,,3.1,16.8,,,,,,-0.4,0.1,-0.3,-0.069,,,,,
12,Bill Turner,26,18,200,6.0,.358,,.244,,,9.2,5.4,,,,,,-0.5,0.1,-0.4,-0.097,,,,,
13,Ralph Ogden,23,32,162,2.5,.275,,.169,,,8.7,7.2,,,,,,-0.8,0.1,-0.7,-0.208,,,,,
