
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Damon Stoudamire,23,81,81,3311,9.0,22.5,.401,2.8,7.9,.355,6.2,14.6,.426,5.3,6.4,.823,1.4,3.9,5.3,11.3,2.0,0.2,4.6,2.6,26.2,,109,111
2,Doug Christie,26,81,81,3127,6.7,16.1,.417,2.5,6.5,.384,4.2,9.6,.440,4.0,5.2,.775,1.4,5.9,7.3,5.3,3.4,0.8,3.4,4.2,19.9,,108,106
3,Walt Williams,26,73,73,2647,8.4,19.7,.427,3.5,8.7,.400,4.9,10.9,.448,3.7,4.9,.765,2.1,5.3,7.3,3.9,1.9,1.2,3.5,5.6,24.0,,108,109
4,Popeye Jones,26,79,61,2421,5.6,11.8,.480,0.0,0.3,.077,5.6,11.5,.490,2.2,2.6,.818,5.9,9.0,14.9,1.8,1.3,0.9,2.5,5.9,13.5,,108,108
5,Marcus Camby,22,63,38,1897,10.5,21.7,.482,0.1,0.4,.143,10.4,21.3,.488,5.1,7.4,.693,3.7,7.3,11.0,2.7,1.8,3.6,3.7,6.0,26.1,,103,105
6,Carlos Rogers,25,56,3,1397,8.0,15.3,.525,0.9,2.5,.379,7.1,12.8,.553,3.9,6.4,.600,4.6,7.0,11.5,1.4,1.6,2.6,2.0,5.3,20.9,,117,107
7,Sharone Wright,24,60,28,1009,8.5,21.2,.400,0.0,0.1,.000,8.5,21.1,.400,3.6,7.0,.511,4.1,5.6,9.8,1.5,0.8,2.6,4.9,7.7,20.5,,82,109
8,Clifford Rozier,24,41,29,732,5.7,12.5,.457,0.0,0.1,.000,5.7,12.4,.462,2.2,4.4,.508,7.4,9.6,16.9,2.2,1.7,3.2,2.1,7.0,13.7,,107,104
9,Hubert Davis,26,36,0,623,6.3,15.6,.402,1.4,6.0,.229,4.9,9.7,.509,1.4,2.0,.739,0.9,2.5,3.4,2.9,0.9,0.2,1.8,3.4,15.4,,99,114
10,Acie Earl,26,38,0,457,6.8,18.2,.376,0.0,0.6,.000,6.8,17.6,.388,5.1,8.1,.629,3.8,6.0,9.9,2.1,1.4,3.1,3.8,6.3,18.8,,89,107
11,Shawn Respert,24,27,0,412,6.8,15.4,.442,2.4,6.2,.396,4.4,9.3,.472,3.5,4.1,.844,1.4,2.7,4.1,4.1,2.6,0.3,2.8,4.5,19.5,,112,110
12,Reggie Slater,26,26,0,406,10.7,19.4,.550,0.0,0.3,.000,10.7,19.2,.558,5.1,9.8,.520,5.2,7.2,12.4,2.7,1.2,0.8,3.8,4.4,26.5,,107,109
13,John Long,40,32,0,370,6.6,16.8,.393,1.7,4.9,.353,4.9,11.9,.410,3.6,4.0,.893,0.9,4.9,5.7,3.0,1.3,0.3,3.4,4.0,18.5,,97,111
14,Oliver Miller,26,19,8,316,7.9,14.1,.560,0.0,0.2,.000,7.9,13.9,.566,3.4,4.4,.769,3.9,8.4,12.2,4.9,2.2,2.2,3.4,8.0,19.1,,115,105
15,Donald Whiteside,27,27,1,259,3.7,11.3,.327,2.5,7.4,.333,1.2,3.9,.316,2.3,3.1,.733,0.4,2.0,2.5,7.4,2.3,0.0,3.5,4.7,12.1,,98,112
16,Zan Tabak,26,13,4,218,7.8,17.3,.451,0.0,0.0,,7.8,17.3,.451,4.9,7.0,.690,4.9,7.0,11.9,3.4,1.5,2.7,5.1,8.5,20.4,,96,107
17,Martin Lewis,21,9,0,50,6.4,14.8,.429,1.1,3.2,.333,5.3,11.7,.455,1.1,2.1,.500,4.2,2.1,6.4,4.2,1.1,2.1,1.1,8.5,14.8,,113,112
18,Earl Cureton,39,9,0,46,3.5,9.2,.375,0.0,0.0,,3.5,9.2,.375,1.2,3.5,.333,4.6,5.8,10.4,4.6,0.0,0.0,1.2,11.5,8.1,,102,113
19,Brad Lohaus,32,6,0,45,4.7,17.7,.267,2.4,8.2,.286,2.4,9.4,.250,0.0,0.0,,1.2,7.1,8.2,1.2,1.2,0.0,1.2,7.1,11.8,,78,110
20,Benoit Benjamin,32,4,3,44,6.0,14.5,.417,0.0,0.0,,6.0,14.5,.417,3.6,4.8,.750,3.6,7.2,10.8,1.2,1.2,0.0,2.4,6.0,15.7,,99,110
21,Jimmy Oliver,27,4,0,43,4.9,16.0,.308,1.2,7.4,.167,3.7,8.6,.429,2.5,2.5,1.000,1.2,4.9,6.2,1.2,2.5,0.0,3.7,2.5,13.6,,77,109
