
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Damon Stoudamire,23,81,81,3311,564,1407,.401,176,496,.355,388,911,.426,.463,330,401,.823,86,244,330,709,123,13,288,162,1634
2,Doug Christie,26,81,81,3127,396,949,.417,147,383,.384,249,566,.440,.495,237,306,.775,85,347,432,315,201,45,200,245,1176
3,Walt Williams,26,73,73,2647,419,982,.427,175,437,.400,244,545,.448,.516,186,243,.765,103,264,367,197,97,62,174,282,1199
4,Popeye Jones,26,79,61,2421,258,537,.480,1,13,.077,257,524,.490,.481,99,121,.818,270,410,680,84,58,39,116,269,616
5,Marcus Camby,22,63,38,1897,375,778,.482,2,14,.143,373,764,.488,.483,183,264,.693,131,263,394,97,66,130,134,214,935
6,Carlos Rogers,25,56,3,1397,212,404,.525,25,66,.379,187,338,.553,.556,102,170,.600,120,184,304,37,42,69,53,140,551
7,Sharone Wright,24,60,28,1009,161,403,.400,0,1,.000,161,402,.400,.400,68,133,.511,79,107,186,28,15,50,93,146,390
8,Clifford Rozier,24,41,29,732,79,173,.457,0,2,.000,79,171,.462,.457,31,61,.508,102,132,234,31,24,44,29,97,189
9,Hubert Davis,26,36,0,623,74,184,.402,16,70,.229,58,114,.509,.446,17,23,.739,11,29,40,34,11,2,21,40,181
10,Acie Earl,26,38,0,457,59,157,.376,0,5,.000,59,152,.388,.376,44,70,.629,33,52,85,18,12,27,33,54,162
11,Shawn Respert,24,27,0,412,53,120,.442,19,48,.396,34,72,.472,.521,27,32,.844,11,21,32,32,20,2,22,35,152
12,Reggie Slater,26,26,0,406,82,149,.550,0,2,.000,82,147,.558,.550,39,75,.520,40,55,95,21,9,6,29,34,203
13,John Long,40,32,0,370,46,117,.393,12,34,.353,34,83,.410,.444,25,28,.893,6,34,40,21,9,2,24,28,129
14,Oliver Miller,26,19,8,316,47,84,.560,0,1,.000,47,83,.566,.560,20,26,.769,23,50,73,29,13,13,20,48,114
15,Donald Whiteside,27,27,1,259,18,55,.327,12,36,.333,6,19,.316,.436,11,15,.733,2,10,12,36,11,0,17,23,59
16,Zan Tabak,26,13,4,218,32,71,.451,0,0,,32,71,.451,.451,20,29,.690,20,29,49,14,6,11,21,35,84
17,Martin Lewis,21,9,0,50,6,14,.429,1,3,.333,5,11,.455,.464,1,2,.500,4,2,6,4,1,2,1,8,14
18,Earl Cureton,39,9,0,46,3,8,.375,0,0,,3,8,.375,.375,1,3,.333,4,5,9,4,0,0,1,10,7
19,Brad Lohaus,32,6,0,45,4,15,.267,2,7,.286,2,8,.250,.333,0,0,,1,6,7,1,1,0,1,6,10
20,Benoit Benjamin,32,4,3,44,5,12,.417,0,0,,5,12,.417,.417,3,4,.750,3,6,9,1,1,0,2,5,13
21,Jimmy Oliver,27,4,0,43,4,13,.308,1,6,.167,3,7,.429,.346,2,2,1.000,1,4,5,1,2,0,3,2,11
,Team Totals,,82,,19830,2897,6632,.437,589,1624,.363,2308,5008,.461,.481,1446,2008,.720,1135,2254,3389,1714,722,517,1347,1883,7829
