
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Rafer Alston,PG,6-2,171,July 24 1976,3,California State University Fresno
14,Maceo Baston,PF,6-9,215,May 29 1975,R,University of Michigan
5,Michael Bradley,PF,6-10,245,April 18 1979,1,Villanova University
54,Damone Brown,PF,6-9,200,June 28 1979,1,Syracuse University
15,Vince Carter,SG,6-6,220,January 26 1977,4,University of North Carolina
33,Antonio Davis,C,6-9,215,October 31 1968,9,University of Texas at El Paso
44,Greg Foster,C,6-11,240,October 3 1968,12,University of Texas at El Paso
54,Zendon Hamilton,C,6-11,250,April 27 1975,2,St. John's University
7,Nate Huffman,C,7-1,245,April 2 1975,R,Central Michigan University
11,Lindsey Hunter,PG,6-2,170,December 3 1970,9,Jackson State University
8,Jermaine Jackson,SG,6-4,204,June 7 1976,2,University of Detroit Mercy
1,Chris Jefferies,SF,6-8,225,February 13 1980,R,California State University Fresno
2,Voshon Lenard,SG,6-4,205,May 14 1973,7,University of Minnesota
42,Art Long,SF,6-9,250,October 1 1972,2,University of Cincinnati
4,Jelani McCoy,C,6-10,245,December 6 1977,4,University of California Los Angeles
32,Mamadou N'Diaye,C,7-0,255,June 16 1975,2,Auburn University
24,Morris Peterson,SF,6-7,218,August 26 1977,2,Michigan State University
20,Alvin Williams,PG,6-5,185,August 6 1974,5,Villanova University
13,Jerome Williams,PF,6-9,206,May 10 1973,6,Georgetown University
