
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Vince Carter,27,73,2785,20.0,.501,.167,.286,3.9,10.6,7.2,28.0,1.7,1.7,12.0,32.5,,2.6,3.4,6.0,.103,,2.9,0.1,2.9,3.4
2,Donyell Marshall,30,66,2580,19.7,.558,.337,.183,8.1,23.6,15.8,7.2,1.7,2.9,9.0,19.7,,4.8,4.9,9.8,.181,,1.7,2.0,3.7,3.7
3,Chris Bosh,19,75,2510,15.1,.513,.020,.404,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,,2.5,3.8,6.2,.119,,-2.0,1.7,-0.3,1.1
4,Morris Peterson,26,82,2148,12.1,.539,.579,.160,1.9,12.2,7.0,9.5,2.3,0.5,9.9,15.7,,2.1,2.8,4.9,.110,,0.2,0.5,0.7,1.5
5,Jalen Rose,31,50,1968,12.8,.487,.197,.239,1.6,10.3,5.9,27.3,1.1,0.7,17.1,24.7,,-0.6,1.8,1.3,.031,,-1.1,-0.8,-1.8,0.1
6,Alvin Williams,29,56,1730,11.4,.463,.179,.171,1.2,8.8,5.0,23.6,1.8,0.4,12.8,17.1,,0.3,1.8,2.1,.058,,-2.1,-0.3,-2.4,-0.2
7,Michael Curry,35,70,1229,3.6,.460,.077,.296,2.0,6.1,4.1,7.2,1.0,0.3,17.8,10.6,,-0.6,0.9,0.3,.013,,-5.5,-0.1,-5.6,-1.1
8,Milt Palacio,25,59,1211,7.4,.392,.087,.228,1.4,8.3,4.8,26.3,1.9,0.7,21.0,16.6,,-1.8,1.3,-0.5,-0.020,,-5.8,-0.5,-6.3,-1.3
9,Antonio Davis,35,15,538,10.6,.456,.000,.408,10.4,20.2,15.3,4.5,0.8,1.1,12.9,14.7,,0.1,0.7,0.9,.078,,-4.0,0.6,-3.4,-0.2
10,Lamond Murray,30,33,518,8.9,.428,.279,.163,3.1,17.0,10.0,10.4,1.6,1.0,14.2,25.1,,-1.1,0.7,-0.3,-0.031,,-5.3,-1.1,-6.4,-0.6
11,Lonny Baxter,25,36,487,12.6,.491,.008,.438,9.9,18.8,14.3,3.8,1.6,2.7,12.6,17.4,,0.2,0.8,1.0,.095,,-4.4,0.4,-3.9,-0.2
12,Jerome Moiso,25,35,417,12.3,.506,.012,.452,11.3,20.0,15.6,3.4,2.3,2.1,19.9,14.6,,0.0,0.8,0.8,.090,,-4.8,1.3,-3.5,-0.2
13,Jerome Williams,30,15,407,12.4,.552,.018,.509,9.8,26.4,18.1,4.5,2.6,0.5,24.8,11.1,,0.2,0.8,1.0,.117,,-4.1,2.5,-1.6,0.0
14,Corie Blount,35,16,294,6.9,.393,.000,.064,8.6,18.5,13.5,5.6,2.1,1.2,14.2,9.3,,-0.1,0.5,0.4,.069,,-5.0,2.4,-2.6,0.0
15,Roger Mason,23,23,285,9.7,.481,.379,.253,0.4,11.0,5.7,14.5,1.9,1.5,15.7,19.5,,-0.1,0.4,0.2,.039,,-3.7,-0.5,-4.2,-0.2
16,Rod Strickland,37,15,282,11.8,.379,.036,.262,4.1,11.1,7.5,37.0,1.6,1.0,16.1,19.2,,-0.2,0.3,0.1,.019,,-3.9,-0.6,-4.5,-0.2
17,Robert Archibald,23,30,246,5.6,.346,.000,.900,9.8,13.6,11.7,7.7,2.9,0.9,17.7,10.0,,-0.2,0.4,0.2,.049,,-5.3,2.6,-2.7,0.0
18,Dion Glover,25,14,178,9.9,.450,.215,.215,2.6,16.3,9.4,16.1,3.1,0.8,21.1,24.6,,-0.4,0.3,-0.1,-0.028,,-5.6,0.7,-4.8,-0.1
19,Jannero Pargo,24,5,71,5.6,.310,.172,.000,0.0,6.5,3.2,31.5,3.1,1.0,14.7,23.2,,-0.3,0.1,-0.2,-0.112,,-7.2,-1.7,-9.0,-0.1
20,Mengke Bateer,28,7,40,7.2,.571,.000,.000,14.3,8.7,11.5,4.4,1.4,0.0,22.2,10.9,,0.0,0.0,0.1,.090,,-2.7,-0.5,-3.2,0.0
21,Michael Bradley,24,5,38,1.3,.387,.000,.667,3.0,30.5,16.7,4.1,1.5,0.0,43.6,8.8,,-0.1,0.1,0.0,-0.020,,-10.7,1.5,-9.2,-0.1
22,Rick Brunson,31,3,10,18.3,.500,.000,.000,0.0,0.0,0.0,43.1,0.0,0.0,0.0,19.4,,0.0,0.0,0.0,.148,,-1.8,-11.8,-13.6,0.0
23,Chris Jefferies,23,2,8,33.3,.621,.500,.167,0.0,14.5,7.2,43.2,0.0,0.0,13.4,45.1,,0.0,0.0,0.0,.160,,13.5,-4.5,8.9,0.0
