
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Andrea Bargnani,24,80,2799,15.5,.552,.284,.205,4.6,15.9,10.4,5.4,0.5,3.0,8.8,22.3,,3.3,0.9,4.2,.072,,0.7,-1.5,-0.8,0.8
2,Chris Bosh,25,70,2526,25.0,.592,.019,.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,,7.9,1.7,9.6,.182,,3.0,-0.7,2.3,2.7
3,Hedo Turkoglu,30,74,2272,13.3,.540,.429,.335,2.2,15.2,8.9,19.5,1.2,1.1,13.9,18.1,,2.6,0.8,3.4,.071,,1.5,-0.5,1.0,1.7
4,Jarrett Jack,26,82,2243,16.3,.599,.297,.359,1.6,9.8,5.8,27.7,1.4,0.2,17.3,19.1,,4.5,0.2,4.8,.102,,2.5,-2.3,0.1,1.2
5,Jose Calderon,28,68,1817,16.5,.569,.301,.183,1.5,7.5,4.6,33.8,1.3,0.3,13.9,17.9,,4.2,0.0,4.2,.111,,2.7,-3.4,-0.6,0.6
6,DeMar DeRozan,20,77,1664,12.5,.554,.031,.379,4.8,10.9,7.9,4.9,1.3,0.8,9.4,18.1,,2.0,0.3,2.3,.066,,-0.9,-1.9,-2.8,-0.3
7,Amir Johnson,22,82,1453,16.7,.639,.012,.446,12.9,19.1,16.1,5.0,1.6,3.5,13.6,14.5,,3.4,1.1,4.5,.150,,1.4,0.8,2.1,1.5
8,Antoine Wright,25,67,1392,8.6,.502,.434,.193,3.3,12.6,8.1,7.4,1.1,0.6,11.8,16.1,,0.1,0.2,0.3,.011,,-1.0,-1.7,-2.7,-0.3
9,Sonny Weems,23,69,1368,12.9,.533,.033,.140,3.7,12.6,8.3,11.6,1.5,1.4,11.8,18.4,,0.8,0.5,1.3,.044,,-1.2,-0.7,-1.9,0.0
10,Marco Belinelli,23,66,1121,12.6,.543,.417,.319,1.5,8.3,5.0,11.8,1.9,0.3,12.2,20.1,,0.9,0.2,1.2,.049,,0.4,-2.6,-2.2,-0.1
11,Rasho Nesterovic,33,42,413,16.0,.539,.000,.034,10.9,14.5,12.7,9.9,1.2,3.2,9.6,18.5,,0.6,0.2,0.8,.089,,0.0,-0.4,-0.4,0.2
12,Reggie Evans,29,28,311,11.4,.498,.000,.870,11.7,27.7,19.9,3.7,2.3,1.0,18.7,17.2,,-0.1,0.3,0.2,.033,,-4.1,-0.8,-4.9,-0.2
13,Marcus Banks,28,22,244,15.3,.635,.329,.397,1.5,9.4,5.6,16.4,2.5,0.6,18.9,19.8,,0.4,0.1,0.5,.095,,1.1,-1.8,-0.7,0.1
14,Pops Mensah-Bonsu,26,16,107,11.0,.460,.000,.621,17.0,17.2,17.1,2.7,1.4,5.7,21.3,20.0,,-0.1,0.1,0.0,-0.006,,-5.0,-0.2,-5.2,-0.1
15,Patrick O'Bryant,23,11,51,9.9,.539,.067,.400,4.8,20.3,12.7,3.0,2.0,6.0,22.1,20.3,,-0.1,0.1,0.0,-0.009,,-6.0,0.8,-5.2,0.0
