
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,DeMar DeRozan,24,79,79,3017,7.2,16.8,.429,0.8,2.5,.305,6.4,14.3,.451,6.2,7.5,.824,0.6,3.5,4.1,3.7,1.0,0.3,2.1,2.4,21.4
2,Kyle Lowry,27,79,79,2862,5.7,13.6,.423,2.4,6.3,.380,3.4,7.3,.460,3.9,4.8,.813,1.1,3.5,4.6,7.4,1.5,0.2,2.4,3.4,17.8
3,Jonas Valanciunas,21,81,81,2282,5.7,10.7,.531,0.0,0.0,.000,5.7,10.6,.532,3.1,4.1,.762,3.6,7.7,11.3,0.9,0.4,1.1,2.1,3.9,14.5
4,Amir Johnson,26,77,72,2214,5.6,10.0,.562,0.3,1.1,.303,5.3,8.9,.593,1.5,2.3,.636,2.8,5.4,8.2,1.9,0.9,1.4,2.0,4.4,13.0
5,Terrence Ross,22,81,62,2159,5.3,12.5,.423,2.7,6.8,.395,2.6,5.7,.458,1.4,1.6,.837,0.7,3.5,4.2,1.3,1.1,0.5,1.5,3.1,14.7
6,Greivis Vasquez,27,61,5,1314,5.8,13.9,.417,2.5,6.5,.389,3.3,7.4,.442,1.8,2.1,.855,0.4,3.4,3.8,6.2,0.7,0.1,2.8,2.9,15.9
7,John Salmons,34,60,0,1281,3.1,8.3,.368,1.3,3.4,.388,1.7,4.9,.354,0.9,1.3,.733,0.3,3.0,3.3,2.9,1.0,0.3,1.1,2.6,8.4
8,Patrick Patterson,24,48,7,1118,5.6,11.8,.477,1.5,3.6,.411,4.2,8.2,.506,1.3,1.8,.745,2.7,5.2,7.8,2.0,1.4,1.1,1.6,3.9,14.1
9,Tyler Hansbrough,28,64,4,978,3.4,7.2,.474,0.0,0.1,.000,3.4,7.1,.479,4.6,6.8,.681,4.4,6.1,10.6,0.6,1.0,0.7,1.7,4.9,11.5
10,Rudy Gay,27,18,18,639,7.3,18.9,.388,1.2,3.3,.373,6.1,15.5,.391,3.8,5.0,.773,1.6,5.9,7.5,2.3,1.6,1.3,3.3,2.6,19.7
11,Chuck Hayes,30,45,0,575,2.6,6.1,.429,0.0,0.1,.000,2.6,6.1,.433,0.9,1.1,.833,3.1,7.1,10.2,1.8,1.4,0.6,1.6,4.8,6.2
12,Steve Novak,30,54,1,540,4.0,9.7,.411,3.5,8.1,.426,0.5,1.6,.333,0.4,0.4,1.000,0.5,3.3,3.9,0.9,0.8,0.3,0.3,2.9,11.9
13,Landry Fields,25,30,2,322,3.0,7.5,.403,0.0,0.6,.000,3.0,6.9,.435,1.6,2.5,.636,1.7,4.9,6.6,2.2,1.1,0.3,1.2,2.8,7.6
14,Nando De Colo,26,21,0,193,4.1,11.2,.367,1.5,4.1,.364,2.6,7.1,.368,2.4,2.4,1.000,1.5,3.7,5.2,6.2,1.3,0.6,2.6,4.3,12.1
15,Dwight Buycks,24,14,0,146,3.7,11.8,.313,1.2,4.2,.294,2.5,7.6,.323,2.0,2.2,.889,1.0,4.7,5.7,2.5,2.0,0.0,2.5,2.7,10.6
16,Julyan Stone,25,21,0,120,2.1,5.1,.412,0.6,2.4,.250,1.5,2.7,.556,0.6,0.9,.667,0.6,5.4,6.0,3.6,0.9,0.0,1.5,3.9,5.4
17,D.J. Augustin,26,10,0,82,3.1,10.5,.292,0.4,4.8,.091,2.6,5.7,.462,2.6,2.6,1.000,0.0,1.8,1.8,4.4,0.4,0.0,4.0,3.1,9.2
18,Quincy Acy,23,7,0,61,3.5,8.3,.429,1.2,3.0,.400,2.4,5.3,.444,3.0,4.7,.625,3.0,5.9,8.9,2.4,2.4,1.8,1.2,4.7,11.2
19,Austin Daye,25,8,0,33,3.3,14.2,.231,0.0,8.7,.000,3.3,5.5,.600,2.2,3.3,.667,2.2,5.5,7.6,2.2,0.0,0.0,0.0,4.4,8.7
20,Aaron Gray,29,4,0,20,3.6,5.4,.667,0.0,0.0,,3.6,5.4,.667,1.8,3.6,.500,5.4,9.0,14.4,5.4,0.0,0.0,7.2,12.6,9.0
