
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,DeMar DeRozan,25,4,4,39.8,8.0,20.0,.400,0.8,2.0,.375,7.3,18.0,.403,.419,3.5,4.3,.824,1.3,5.0,6.3,5.8,1.5,0.0,2.5,3.0,20.3
2,Kyle Lowry,28,4,4,32.8,4.5,14.3,.316,1.3,5.8,.217,3.3,8.5,.382,.360,2.0,2.8,.727,1.8,3.8,5.5,4.8,1.3,0.0,3.0,4.5,12.3
3,Amir Johnson,27,4,2,28.0,5.0,7.3,.690,0.0,0.3,.000,5.0,7.0,.714,.690,1.5,3.0,.500,1.8,5.3,7.0,1.0,0.3,0.8,1.8,4.0,11.5
4,Terrence Ross,23,4,4,26.8,2.8,7.3,.379,1.5,4.5,.333,1.3,2.8,.455,.483,0.0,0.0,,0.0,1.5,1.5,1.0,0.8,1.0,0.5,2.5,7.0
5,Patrick Patterson,25,4,0,26.5,3.8,6.8,.556,1.8,3.8,.467,2.0,3.0,.667,.685,1.0,1.0,1.000,1.0,2.5,3.5,1.3,0.8,0.0,0.8,1.3,10.3
6,Jonas Valanciunas,22,4,4,26.5,4.8,9.5,.500,0.0,0.0,,4.8,9.5,.500,.500,1.8,2.0,.875,2.3,7.0,9.3,0.5,0.5,0.3,1.0,1.8,11.3
7,Lou Williams,28,4,0,25.5,4.0,12.8,.314,1.0,5.3,.190,3.0,7.5,.400,.353,3.8,4.5,.833,0.5,1.3,1.8,1.3,1.5,0.0,0.8,2.3,12.8
8,Greivis Vasquez,28,4,0,25.3,2.8,7.3,.379,1.3,3.5,.357,1.5,3.8,.400,.466,0.8,0.8,1.000,0.0,1.8,1.8,3.0,0.5,0.0,1.0,3.8,7.5
9,Tyler Hansbrough,29,4,2,12.0,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.8,1.0,.750,0.3,1.3,1.5,0.8,0.5,0.3,0.5,2.0,1.3
10,James Johnson,27,2,0,6.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,3.0,.000,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0
11,Greg Stiemsma,29,1,0,2.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
