
,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 &lt;3,3P,2P,0-3,3-10,10-16,16 &lt;3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,DeMar DeRozan,25,4,159,.400,13.4,.900,.138,.200,.200,.363,.100,.403,.818,.375,.188,.379,.375,.276,.013,1,1.000,.375,.000,0,0
2,Kyle Lowry,28,4,131,.316,16.3,.596,.211,.140,.088,.158,.404,.382,.500,.250,.200,.444,.217,.231,.000,0,.400,.130,.333,2,0
3,Amir Johnson,27,4,112,.690,4.6,.966,.414,.517,.000,.034,.034,.714,.917,.600,,.000,.000,.750,.034,1,,.000,,0,0
4,Terrence Ross,23,4,107,.379,19.6,.379,.069,.103,.103,.103,.621,.455,.500,.667,.333,.333,.333,1.000,.034,1,1.000,.444,.375,0,0
5,Jonas Valanciunas,22,4,106,.500,4.6,1.000,.474,.395,.105,.026,.000,.500,.667,.400,.000,1.000,,.632,.158,4,,,,0,0
6,Patrick Patterson,25,4,106,.556,17.5,.444,.185,.037,.111,.111,.556,.667,.800,.000,.667,.667,.467,.625,.111,3,1.000,.467,.571,0,0
7,Lou Williams,28,4,102,.314,15.9,.588,.098,.314,.078,.098,.412,.400,.600,.313,.250,.600,.190,.000,.000,0,1.000,.286,.167,0,0
8,Greivis Vasquez,28,4,101,.379,15.1,.517,.069,.414,.000,.034,.483,.400,1.000,.333,,.000,.357,.167,.000,0,.600,.071,.000,0,0
9,Tyler Hansbrough,29,4,48,.200,2.2,1.000,.800,.200,.000,.000,.000,.200,.250,.000,,,,1.000,.000,0,,,,0,0
10,James Johnson,27,2,12,.333,6.8,1.000,.167,.500,.167,.167,.000,.333,1.000,.333,.000,.000,,.500,.000,0,,,,0,0
11,Greg Stiemsma,29,1,2,1.000,4.0,1.000,.500,.500,.000,.000,.000,1.000,1.000,1.000,,,,1.000,.000,0,,,,0,0
