
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
43,Bobby Cattage,PF,6-9,250,August 17 1958,R,Auburn University
4,Adrian Dantley,SF,6-5,208,February 28 1956,5,University of Notre Dame
18,John Duren,PG,6-3,195,October 30 1958,1,Georgetown University
14,Rickey Green,PG,6-0,170,August 18 1954,3,University of Michigan
35,Darrell Griffith,SG,6-4,190,June 16 1958,1,University of Louisville
11,James Hardy,SF,6-8,220,December 1 1956,3,University of San Francisco
22,Carl Nicks,SG,6-1,175,October 6 1958,1,Indiana State University
50,Ben Poquette,PF,6-9,235,May 7 1955,4,Central Michigan University
52,Bill Robinzine,PF,6-7,230,January 20 1953,6,DePaul University
24,Danny Schayes,C,6-11,235,May 10 1959,R,Syracuse University
45,Jeff Wilkins,C,6-11,230,March 9 1955,1,Illinois State University
33,Howard Wood,SF,6-7,235,May 20 1959,R,University of Tennessee
31,Sam Worthen,PG,6-5,195,January 17 1958,1,Marquette University
