
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Isaac Austin,C,6-10,255,August 18 1969,R,Arizona State University
41,Thurl Bailey,PF,6-11,215,April 7 1961,8,North Carolina State University
21,David Benoit,SF,6-8,220,May 9 1968,R,University of Alabama
40,Mike Brown,C,6-9,257,July 19 1963,5,George Washington University
23,Tyrone Corbin,SF,6-6,210,December 31 1962,6,DePaul University
15,Corey Crowder,SF,6-5,214,April 13 1969,R,Kentucky Wesleyan College
53,Mark Eaton,C,7-4,275,January 24 1957,9,University of California Los Angeles
30,Blue Edwards,SF,6-4,200,October 31 1965,2,East Carolina University
24,Jeff Malone,SG,6-4,205,June 28 1961,8,Mississippi State University
32,Karl Malone,PF,6-9,250,July 24 1963,6,Louisiana Tech University
14,Eric Murdock,PG,6-1,190,June 14 1968,R,Providence College
11,Delaney Rudd,SG,6-2,180,November 8 1962,2,Wake Forest University
12,John Stockton,PG,6-1,170,March 26 1962,7,Gonzaga University
33,Bob Thornton,PF,6-10,225,July 10 1962,6,University of California Irvine
