
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Karl Malone,29,82,3099,26.2,.612,.014,.579,8.6,24.6,16.9,16.9,2.0,1.8,11.7,28.4,,10.4,5.0,15.4,.238,,5.4,2.2,7.6,7.6
2,John Stockton,30,82,2863,21.3,.584,.208,.408,2.6,6.7,4.7,49.8,3.5,0.5,20.1,19.9,,7.2,3.4,10.6,.177,,4.3,-1.0,3.3,3.8
3,Jeff Malone,31,79,2558,13.7,.538,.007,.230,1.4,6.1,3.9,8.2,0.8,0.1,8.6,24.4,,2.4,1.2,3.6,.068,,-1.1,-2.6,-3.6,-1.1
4,Tyrone Corbin,30,82,2555,14.4,.551,.007,.285,8.9,14.0,11.6,9.8,2.1,0.8,11.1,16.3,,3.8,3.0,6.7,.126,,0.9,1.7,2.6,3.0
5,Jay Humphries,30,78,2034,10.5,.482,.114,.197,2.3,5.6,4.0,22.2,2.5,0.3,15.6,17.9,,0.0,1.8,1.8,.043,,-1.5,-0.4,-1.9,0.0
6,David Benoit,24,82,1712,11.3,.504,.166,.257,8.0,17.8,13.0,3.6,1.3,1.6,12.0,18.8,,0.3,2.0,2.3,.065,,-2.6,-0.6,-3.1,-0.5
7,Mike Brown,29,82,1551,9.4,.483,.002,.401,11.2,17.3,14.4,5.6,1.0,1.0,16.5,16.0,,-0.1,1.6,1.5,.047,,-3.1,0.1,-3.0,-0.4
8,Larry Krystkowiak,28,71,1362,11.7,.524,.002,.346,6.4,16.6,11.7,7.1,1.5,0.6,11.2,17.4,,1.1,1.5,2.6,.090,,-2.0,0.1,-2.0,0.0
9,Mark Eaton,36,64,1104,8.7,.582,.000,.385,7.8,19.1,13.6,2.0,0.8,4.6,22.1,7.6,,0.4,1.5,1.9,.082,,-3.6,2.8,-0.8,0.3
10,Isaac Austin,23,46,306,11.4,.491,.009,.393,14.6,14.8,14.7,2.9,1.3,2.9,14.9,21.7,,0.0,0.4,0.3,.052,,-3.7,-1.4,-5.1,-0.2
11,Stephen Howard,22,49,260,9.8,.447,.000,.570,11.8,14.4,13.1,5.4,2.9,3.0,16.5,23.0,,-0.3,0.4,0.1,.018,,-5.0,0.7,-4.3,-0.1
12,John Crotty,23,40,243,13.2,.575,.194,.528,1.9,5.9,4.0,32.7,2.3,0.0,25.3,21.0,,0.1,0.2,0.3,.057,,-1.5,-2.9,-4.4,-0.1
13,James Donaldson,35,6,94,10.7,.585,.000,.643,7.5,27.0,17.6,1.4,0.5,4.8,18.2,10.0,,0.0,0.2,0.2,.099,,-4.9,1.3,-3.6,0.0
14,Henry James,27,2,9,14.6,.405,.500,1.000,13.1,0.0,6.3,0.0,0.0,0.0,0.0,41.3,,0.0,0.0,0.0,.046,,-1.0,-14.0,-14.9,0.0
15,Tim Legler,26,3,5,4.9,.333,.000,.000,0.0,22.1,11.4,0.0,0.0,0.0,0.0,25.8,,0.0,0.0,0.0,-0.111,,-12.8,-8.3,-21.0,0.0
