
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Karl Malone,34,81,81,3030,780,1472,.530,2,6,.333,778,1466,.531,.531,628,825,.761,189,645,834,316,96,70,247,237,2190
2,Jeff Hornacek,34,80,80,2460,399,828,.482,56,127,.441,343,701,.489,.516,285,322,.885,65,205,270,349,109,15,132,175,1139
3,Bryon Russell,27,82,7,2219,226,525,.430,73,214,.341,153,311,.492,.500,213,278,.766,78,248,326,101,90,31,81,229,738
4,Adam Keefe,27,80,75,2047,229,424,.540,0,0,,229,424,.540,.540,162,200,.810,179,259,438,89,52,24,71,172,620
5,John Stockton,35,64,64,1858,270,511,.528,39,91,.429,231,420,.550,.567,191,231,.827,35,131,166,543,89,10,161,138,770
6,Howard Eisley,25,82,18,1726,229,519,.441,48,118,.407,181,401,.451,.487,127,149,.852,25,141,166,346,54,13,160,182,633
7,Shandon Anderson,24,82,2,1602,269,500,.538,7,32,.219,262,468,.560,.545,136,185,.735,86,141,227,89,66,18,91,145,681
8,Greg Foster,29,78,49,1446,186,418,.445,2,9,.222,184,409,.450,.447,67,87,.770,85,188,273,51,15,28,68,187,441
9,Greg Ostertag,24,63,23,1288,115,239,.481,0,0,,115,239,.481,.481,67,140,.479,134,240,374,25,28,132,74,166,297
10,Antoine Carr,36,66,8,1086,151,325,.465,0,0,,151,325,.465,.465,76,98,.776,42,89,131,48,11,53,48,195,378
11,Chris Morris,32,54,1,538,85,207,.411,19,62,.306,66,145,.455,.457,44,61,.721,35,79,114,24,25,17,33,61,233
12,Jacque Vaughn,22,45,0,419,44,122,.361,3,8,.375,41,114,.360,.373,48,68,.706,4,34,38,84,9,1,56,63,139
13,William Cunningham,23,6,2,38,4,9,.444,0,0,,4,9,.444,.444,0,0,,4,4,8,1,2,0,0,10,8
14,Troy Hudson,21,8,0,23,6,14,.429,0,3,.000,6,11,.545,.429,0,0,,1,1,2,4,2,0,1,1,12
,Team Totals,,82,,19780,2993,6113,.490,249,670,.372,2744,5443,.504,.510,2044,2644,.773,962,2405,3367,2070,648,412,1260,1961,8279
