
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Deron Williams,24,68,68,36.8,6.8,14.5,.471,1.0,3.3,.310,5.8,11.1,.518,.506,4.8,5.6,.849,0.4,2.5,2.9,10.7,1.1,0.3,3.4,2.0,19.4
2,Mehmet Okur,29,72,72,33.5,6.0,12.3,.485,1.3,2.8,.446,4.7,9.5,.497,.536,3.8,4.6,.817,1.7,6.0,7.7,1.7,0.8,0.7,1.8,3.0,17.0
3,Carlos Boozer,27,37,37,32.4,6.8,13.8,.490,0.0,0.0,,6.8,13.8,.490,.490,2.6,3.8,.698,3.0,7.4,10.4,2.1,1.1,0.2,2.1,3.6,16.2
4,Ronnie Brewer,23,81,80,32.2,5.2,10.2,.508,0.3,1.0,.259,4.9,9.2,.537,.522,3.0,4.3,.702,1.2,2.5,3.7,2.2,1.7,0.4,1.4,1.6,13.7
5,Paul Millsap,23,76,38,30.1,5.3,9.9,.534,0.0,0.1,.000,5.3,9.8,.537,.534,3.0,4.3,.699,3.3,5.3,8.6,1.8,1.0,1.0,1.7,3.8,13.5
6,Andrei Kirilenko,27,67,10,27.3,3.8,8.5,.449,0.3,1.1,.274,3.5,7.4,.475,.467,3.6,4.6,.785,1.3,3.5,4.8,2.6,1.2,1.1,1.8,1.9,11.6
7,Kyle Korver,27,78,2,24.0,3.1,7.2,.438,1.3,3.4,.386,1.8,3.8,.485,.529,1.4,1.6,.882,0.4,2.9,3.3,1.8,0.6,0.4,1.2,2.2,9.0
8,C.J. Miles,21,72,72,22.5,3.6,7.8,.459,0.9,2.5,.352,2.7,5.3,.509,.515,1.1,1.2,.876,0.6,1.7,2.3,1.5,0.6,0.2,0.9,2.6,9.1
9,Ronnie Price,25,52,17,14.2,1.5,3.9,.379,0.4,1.2,.311,1.1,2.7,.408,.426,0.7,0.9,.756,0.2,1.1,1.3,2.1,0.8,0.1,1.2,1.4,4.0
10,Brevin Knight,33,74,0,12.7,0.9,2.6,.349,0.0,0.1,.000,0.9,2.5,.361,.349,0.6,0.9,.750,0.2,1.0,1.2,2.6,0.9,0.1,0.9,1.3,2.4
11,Kosta Koufos,19,48,7,11.8,2.0,3.9,.508,0.0,0.0,,2.0,3.9,.508,.508,0.8,1.1,.706,1.0,1.8,2.9,0.4,0.3,0.6,0.5,1.5,4.7
12,Matt Harpring,32,63,2,11.0,1.8,3.8,.461,0.0,0.0,.000,1.8,3.8,.464,.461,0.9,1.1,.764,0.7,1.2,2.0,0.4,0.5,0.1,0.5,1.6,4.4
13,Morris Almond,23,25,1,10.2,1.3,3.2,.407,0.2,0.7,.294,1.1,2.6,.438,.438,0.8,1.0,.808,0.4,1.1,1.4,0.3,0.2,0.2,0.6,1.2,3.7
14,Jarron Collins,30,26,3,7.7,0.6,1.3,.457,0.0,0.0,,0.6,1.3,.457,.457,0.3,0.4,.727,0.8,0.7,1.4,0.3,0.1,0.0,0.3,1.3,1.5
15,Kyrylo Fesenko,22,21,1,7.4,1.0,1.7,.583,0.0,0.0,,1.0,1.7,.583,.583,0.3,1.0,.333,0.7,1.1,1.8,0.2,0.3,0.7,0.4,1.7,2.3
