
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Deron Williams,25,76,76,2802,6.3,13.5,.469,1.2,3.3,.371,5.1,10.2,.501,4.3,5.4,.801,0.6,3.3,3.9,10.3,1.2,0.2,3.2,2.7,18.2
2,Carlos Boozer,28,78,78,2673,8.3,14.8,.562,0.0,0.0,,8.3,14.8,.562,3.8,5.2,.742,2.4,9.3,11.8,3.3,1.1,0.5,2.9,3.6,20.5
3,Paul Millsap,24,82,8,2277,6.1,11.3,.538,0.0,0.1,.111,6.1,11.2,.543,2.9,4.2,.693,2.9,5.9,8.8,2.1,1.0,1.6,1.8,4.5,15.1
4,Mehmet Okur,30,73,73,2149,5.9,13.0,.458,1.4,3.6,.385,4.6,9.4,.486,3.3,4.0,.820,2.2,6.4,8.6,2.0,0.6,1.4,2.1,3.7,16.6
5,Wesley Matthews,23,82,48,2025,4.9,10.0,.483,1.1,2.9,.382,3.7,7.1,.525,2.8,3.4,.829,0.9,2.5,3.4,2.2,1.1,0.3,1.7,2.7,13.7
6,Andrei Kirilenko,28,58,35,1681,5.2,10.3,.506,0.6,1.9,.292,4.7,8.4,.555,3.7,5.0,.744,1.6,4.0,5.7,3.4,1.8,1.5,1.7,2.2,14.7
7,Ronnie Brewer,24,53,53,1662,4.5,9.0,.495,0.2,0.7,.258,4.3,8.3,.514,1.8,2.8,.633,1.0,2.9,3.9,3.3,1.8,0.3,1.1,1.7,10.9
8,C.J. Miles,22,63,28,1497,5.8,13.5,.429,1.8,5.2,.341,4.0,8.3,.484,1.6,2.3,.695,1.0,3.0,4.0,2.5,1.4,0.4,1.9,4.6,15.0
9,Kyle Korver,28,52,0,952,5.2,10.6,.493,2.2,4.2,.536,3.0,6.4,.465,1.5,1.9,.796,0.4,3.8,4.2,3.4,1.0,0.5,1.6,2.9,14.1
10,Ronnie Price,26,60,4,806,4.4,10.8,.405,0.8,2.8,.286,3.6,8.0,.447,1.8,2.6,.695,1.3,2.1,3.3,5.5,1.8,0.6,2.5,4.9,11.4
11,Kyrylo Fesenko,23,49,5,408,4.6,8.4,.547,0.0,0.1,.000,4.6,8.3,.553,2.1,5.0,.421,2.9,5.0,7.9,1.3,0.5,1.7,2.1,6.9,11.3
12,Eric Maynor,22,26,2,363,5.2,13.2,.391,0.5,2.4,.208,4.7,10.8,.431,2.5,3.3,.758,1.0,2.8,3.8,8.0,1.3,0.2,2.8,3.3,13.3
13,Sundiata Gaines,23,32,0,217,6.3,13.6,.463,1.2,4.3,.269,5.1,9.3,.554,3.8,7.6,.500,1.0,3.8,4.8,6.5,2.0,0.0,2.3,2.8,17.6
14,Kosta Koufos,20,36,0,172,4.6,9.8,.468,0.0,0.0,,4.6,9.8,.468,1.9,3.1,.600,3.3,6.1,9.4,1.3,0.4,0.8,3.1,5.4,11.1
15,Othyus Jeffers,24,14,0,73,5.9,14.3,.414,0.0,0.0,,5.9,14.3,.414,6.4,9.4,.684,3.9,5.4,9.4,0.5,2.0,0.0,3.0,4.9,18.2
