
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,21,82,82,2950,653,1347,.485,21,51,.412,632,1296,.488,.493,502,640,.784,227,354,581,213,89,76,257,201,1829
2,Bryant Reeves,24,74,74,2527,492,941,.523,0,4,.000,492,937,.525,.523,223,316,.706,196,389,585,155,39,80,156,278,1207
3,Blue Edwards,32,81,20,1968,326,742,.439,40,120,.333,286,622,.460,.466,180,215,.837,61,156,217,201,86,27,134,183,872
4,Antonio Daniels,22,74,50,1956,228,548,.416,11,52,.212,217,496,.438,.426,112,170,.659,22,121,143,334,55,10,164,88,579
5,Lee Mayberry,27,79,32,1835,131,349,.375,63,180,.350,68,169,.402,.466,38,51,.745,19,95,114,349,65,10,113,164,363
6,Otis Thorpe,35,47,46,1574,205,430,.477,0,4,.000,205,426,.481,.477,118,170,.694,100,271,371,161,30,23,115,158,528
7,George Lynch,27,82,0,1493,248,516,.481,9,30,.300,239,486,.492,.489,111,158,.703,147,215,362,122,65,41,104,161,616
8,Pete Chilcutt,29,82,0,1420,156,359,.435,54,130,.415,102,229,.445,.510,39,59,.661,77,229,306,104,53,37,62,158,405
9,Sam Mack,27,57,54,1414,222,559,.397,110,269,.409,112,290,.386,.496,62,77,.805,30,103,133,101,41,11,69,117,616
10,Tony Massenburg,30,61,13,894,148,309,.479,0,0,,148,309,.479,.479,100,137,.730,80,152,232,21,25,24,60,123,396
11,Michael Smith,25,30,29,706,67,133,.504,0,1,.000,67,132,.508,.504,48,73,.658,85,121,206,59,26,6,36,60,182
12,Bobby Hurley,26,27,0,458,46,123,.374,1,7,.143,45,116,.388,.378,29,39,.744,5,25,30,97,10,0,44,43,122
13,Ivano Newbill,27,28,2,249,20,57,.351,1,1,1.000,19,56,.339,.360,17,30,.567,24,45,69,9,10,3,17,38,58
14,Anthony Peeler,28,8,8,202,35,72,.486,5,19,.263,30,53,.566,.521,4,6,.667,6,14,20,23,9,0,6,16,79
15,Chris Robinson,23,16,0,143,23,63,.365,7,24,.292,16,39,.410,.421,1,2,.500,0,13,13,10,7,1,15,21,54
16,Larry Robinson,30,6,0,41,6,19,.316,3,6,.500,3,13,.231,.395,2,2,1.000,2,10,12,1,4,0,2,0,17
,Team Totals,,82,,19830,3006,6567,.458,325,898,.362,2681,5669,.473,.482,1586,2145,.739,1081,2313,3394,1960,614,349,1405,1809,7923
