
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim,24,81,3241,19.1,.549,.050,.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,.126,,1.3,0.9,2.2,3.5
2,Mike Bibby,22,82,3190,16.8,.525,.246,.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,,4.0,1.4,5.3,.081,,2.3,-1.6,0.7,2.2
3,Michael Dickerson,25,70,2618,12.4,.501,.225,.265,3.1,6.9,5.0,15.8,1.2,0.7,12.5,22.7,,1.2,0.7,1.8,.034,,0.0,-1.6,-1.6,0.2
4,Bryant Reeves,27,75,1832,12.8,.506,.007,.257,8.3,19.8,14.1,7.4,1.2,2.0,12.8,17.6,,1.2,1.7,2.9,.075,,-2.5,0.5,-2.0,0.0
5,Grant Long,34,66,1507,11.4,.510,.047,.492,5.8,14.9,10.4,8.7,2.5,0.7,13.8,13.6,,1.0,1.4,2.4,.078,,-2.1,1.4,-0.7,0.5
6,Damon Jones,24,71,1415,13.0,.525,.555,.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,,1.4,0.4,1.8,.062,,0.5,-2.8,-2.3,-0.1
7,Stromile Swift,21,80,1312,13.1,.487,.012,.416,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,,0.2,1.6,1.9,.069,,-3.4,1.9,-1.5,0.2
8,Othella Harrington,27,44,1267,11.7,.529,.008,.399,9.3,16.8,13.1,4.9,0.8,1.4,18.6,20.1,,0.1,0.8,0.9,.035,,-3.2,-0.9,-4.1,-0.7
9,Isaac Austin,31,52,845,8.3,.393,.089,.148,6.8,23.1,15.0,11.2,1.2,1.9,15.8,18.5,,-1.3,0.9,-0.5,-0.026,,-5.8,0.6,-5.2,-0.7
10,Tony Massenburg,33,52,823,9.6,.507,.000,.352,10.5,18.6,14.6,1.8,0.6,2.4,17.3,15.4,,0.1,0.6,0.7,.041,,-4.8,-1.3,-6.1,-0.9
11,Kevin Edwards,35,46,634,8.3,.414,.112,.312,4.2,10.6,7.4,12.9,2.4,0.9,16.1,16.6,,-0.6,0.5,-0.1,-0.011,,-4.6,0.2,-4.4,-0.4
12,Mahmoud Abdul-Rauf,31,41,486,16.7,.514,.057,.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,,0.7,0.0,0.7,.070,,0.8,-5.3,-4.5,-0.3
13,Erick Strickland,27,22,409,13.1,.442,.353,.375,2.5,18.6,10.6,25.8,2.8,0.2,14.6,20.7,,0.0,0.5,0.5,.053,,-1.2,0.4,-0.8,0.1
14,Doug West,33,15,171,4.2,.341,.053,.184,2.7,7.3,5.0,12.4,0.9,1.6,8.9,12.0,,-0.1,0.0,-0.1,-0.028,,-5.8,-0.8,-6.6,-0.2
15,Brent Price,32,6,30,9.4,.462,.364,.636,3.8,11.4,7.6,26.6,3.5,0.0,22.1,27.5,,0.0,0.0,0.0,-0.003,,-2.5,-1.3,-3.8,0.0
