
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,24,81,81,40.0,7.5,15.8,.472,0.1,0.8,.188,7.3,15.0,.487,.477,5.5,6.6,.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5
2,Mike Bibby,22,82,82,38.9,6.4,14.1,.454,1.3,3.5,.379,5.1,10.6,.478,.500,1.7,2.3,.761,0.6,3.1,3.7,8.4,1.3,0.1,3.0,1.8,15.9
3,Michael Dickerson,25,70,69,37.4,6.1,14.6,.417,1.2,3.3,.374,4.8,11.3,.429,.459,2.9,3.9,.763,1.0,2.3,3.3,3.3,0.9,0.4,2.3,3.0,16.3
4,Othella Harrington,27,44,40,28.8,4.1,8.8,.466,0.0,0.1,.000,4.1,8.7,.470,.466,2.7,3.5,.779,2.3,4.3,6.6,0.8,0.4,0.6,2.4,3.1,10.9
5,Bryant Reeves,27,75,48,24.4,3.4,7.4,.460,0.0,0.1,.250,3.4,7.3,.462,.461,1.5,1.9,.796,1.8,4.3,6.0,1.1,0.6,0.7,1.2,3.2,8.3
6,Grant Long,34,66,27,22.8,2.1,4.8,.439,0.1,0.2,.267,2.1,4.6,.447,.445,1.7,2.4,.713,1.2,3.0,4.2,1.3,1.1,0.2,0.9,2.4,6.0
7,Damon Jones,24,71,10,19.9,2.4,5.9,.409,1.2,3.3,.364,1.2,2.6,.465,.510,0.5,0.7,.712,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5
8,Erick Strickland,27,22,0,18.6,1.9,6.2,.301,0.6,2.2,.292,1.2,4.0,.307,.353,2.0,2.3,.863,0.4,3.0,3.5,3.0,1.0,0.0,1.2,1.9,6.4
9,Stromile Swift,21,80,6,16.4,1.9,4.2,.451,0.0,0.1,.000,1.9,4.2,.457,.451,1.1,1.8,.603,1.4,2.2,3.6,0.4,0.8,1.0,0.8,2.0,4.9
10,Isaac Austin,31,52,16,16.3,1.8,5.2,.356,0.1,0.5,.250,1.7,4.7,.366,.367,0.5,0.8,.700,1.0,3.3,4.3,1.1,0.4,0.4,1.0,1.8,4.3
11,Tony Massenburg,33,52,20,15.8,1.8,3.8,.462,0.0,0.0,,1.8,3.8,.462,.462,0.9,1.3,.700,1.4,2.6,4.0,0.2,0.2,0.5,0.9,2.3,4.5
12,Kevin Edwards,35,46,5,13.8,1.2,3.7,.329,0.1,0.4,.263,1.1,3.3,.338,.344,0.9,1.2,.811,0.5,1.3,1.8,1.1,0.6,0.2,0.8,1.0,3.5
13,Mahmoud Abdul-Rauf,31,41,0,11.9,2.9,6.0,.488,0.1,0.3,.286,2.8,5.7,.500,.496,0.5,0.7,.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5
14,Doug West,33,15,6,11.4,0.7,2.5,.289,0.0,0.1,.000,0.7,2.4,.306,.289,0.4,0.5,.857,0.3,0.7,1.0,0.9,0.2,0.3,0.3,1.4,1.9
15,Brent Price,32,6,0,5.0,0.5,1.8,.273,0.2,0.7,.250,0.3,1.2,.286,.318,1.0,1.2,.857,0.2,0.5,0.7,0.8,0.3,0.0,0.7,1.3,2.2
