
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Shareef Abdur-Rahim,24,81,81,3241,9.8,20.7,.472,0.2,1.0,.188,9.6,19.6,.487,7.2,8.6,.834,2.8,9.0,11.9,4.0,1.5,1.2,3.7,3.8,26.9,,106,104
2,Mike Bibby,22,82,82,3190,8.6,19.0,.454,1.8,4.7,.379,6.8,14.3,.478,2.3,3.1,.761,0.8,4.2,5.0,11.2,1.8,0.2,4.1,2.4,21.4,,104,108
3,Michael Dickerson,25,70,69,2618,8.5,20.4,.417,1.7,4.6,.374,6.8,15.8,.429,4.1,5.4,.763,1.4,3.2,4.6,4.7,1.2,0.5,3.2,4.1,22.8,,98,109
4,Bryant Reeves,27,75,48,1832,7.3,15.8,.460,0.0,0.1,.250,7.2,15.7,.462,3.2,4.1,.796,3.8,9.1,12.9,2.3,1.2,1.5,2.6,6.9,17.8,,101,104
5,Grant Long,34,66,27,1507,4.9,11.1,.439,0.1,0.5,.267,4.7,10.6,.447,3.9,5.5,.713,2.6,6.9,9.5,2.9,2.5,0.5,2.2,5.6,13.8,,103,104
6,Damon Jones,24,71,10,1415,6.3,15.4,.409,3.1,8.5,.364,3.2,6.8,.465,1.4,1.9,.712,0.6,4.0,4.6,8.3,1.3,0.0,2.8,2.1,17.1,,104,109
7,Stromile Swift,21,80,6,1312,6.1,13.5,.451,0.0,0.2,.000,6.1,13.4,.457,3.4,5.6,.603,4.3,7.0,11.3,1.1,2.5,3.3,2.6,6.4,15.6,,97,101
8,Othella Harrington,27,44,40,1267,7.4,16.0,.466,0.0,0.1,.000,7.4,15.8,.470,5.0,6.4,.779,4.2,7.7,11.9,1.5,0.8,1.1,4.3,5.6,19.8,,96,106
9,Isaac Austin,31,52,16,845,5.9,16.7,.356,0.4,1.5,.250,5.6,15.2,.366,1.7,2.5,.700,3.1,10.7,13.8,3.6,1.2,1.4,3.3,5.8,14.0,,81,103
10,Tony Massenburg,33,52,20,823,5.9,12.7,.462,0.0,0.0,,5.9,12.7,.462,3.1,4.5,.700,4.8,8.6,13.4,0.6,0.6,1.8,3.1,7.8,14.8,,96,105
11,Kevin Edwards,35,46,5,634,4.6,14.0,.329,0.4,1.6,.263,4.2,12.5,.338,3.6,4.4,.811,1.9,4.9,6.8,4.3,2.4,0.7,3.1,3.8,13.2,,86,106
12,Mahmoud Abdul-Rauf,31,41,0,486,12.9,26.5,.488,0.4,1.5,.286,12.5,25.0,.500,2.4,3.1,.759,0.5,2.2,2.7,8.2,1.0,0.1,2.8,5.4,28.7,,104,111
13,Erick Strickland,27,22,0,409,5.2,17.4,.301,1.8,6.1,.292,3.5,11.3,.307,5.6,6.5,.863,1.2,8.6,9.7,8.4,2.8,0.1,3.5,5.4,17.9,,95,102
14,Doug West,33,15,6,171,3.4,11.6,.289,0.0,0.6,.000,3.4,11.0,.306,1.8,2.1,.857,1.2,3.4,4.6,4.3,0.9,1.2,1.2,6.4,8.6,,83,109
15,Brent Price,32,6,0,30,5.2,19.2,.273,1.7,7.0,.250,3.5,12.2,.286,10.5,12.2,.857,1.7,5.2,7.0,8.7,3.5,0.0,7.0,14.0,22.7,,89,103
