
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mitch Richmond,33,50,50,1912,331,803,.412,70,221,.317,261,582,.448,.456,251,293,.857,30,142,172,122,64,10,136,121,983
2,Rod Strickland,32,44,43,1632,251,603,.416,12,42,.286,239,561,.426,.426,176,236,.746,56,156,212,434,76,5,142,91,690
3,Otis Thorpe,36,49,38,1539,240,440,.545,0,2,.000,240,438,.548,.545,74,106,.698,96,238,334,101,42,19,88,196,554
4,Juwan Howard,25,36,36,1430,286,604,.474,0,3,.000,286,601,.476,.474,110,146,.753,90,203,293,107,42,14,95,130,682
5,Calbert Cheaney,27,50,18,1266,172,415,.414,8,37,.216,164,378,.434,.424,33,67,.493,33,108,141,73,39,16,42,146,385
6,Ben Wallace,24,46,16,1231,115,199,.578,0,0,,115,199,.578,.578,47,132,.356,137,247,384,18,50,90,36,111,277
7,Tracy Murray,27,36,0,653,83,237,.350,33,103,.320,50,134,.373,.420,34,42,.810,18,63,81,27,21,6,29,65,233
8,Terry Davis,31,37,34,578,49,92,.533,0,0,,49,92,.533,.533,28,38,.737,50,89,139,10,11,3,16,79,126
9,Chris Whitney,27,39,1,441,64,156,.410,32,95,.337,32,61,.525,.513,27,31,.871,8,39,47,69,18,2,36,49,187
10,Jeff McInnis,24,35,6,427,50,134,.373,9,35,.257,41,99,.414,.407,21,28,.750,9,12,21,73,19,1,30,36,130
11,Tim Legler,32,30,0,377,51,115,.443,14,35,.400,37,80,.463,.504,3,6,.500,8,32,40,21,4,3,14,42,119
12,Randell Jackson,23,27,8,271,46,108,.426,1,7,.143,45,101,.446,.431,21,32,.656,30,24,54,8,3,11,26,29,114
13,Jahidi White,22,20,0,191,17,32,.531,0,0,,17,32,.531,.531,15,35,.429,23,35,58,1,3,11,16,39,49
14,John Coker,27,14,0,98,13,31,.419,0,0,,13,31,.419,.419,5,6,.833,7,15,22,0,1,2,2,17,31
15,Etdrick Bohannon,25,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,50,,12050,1768,3969,.445,179,580,.309,1589,3389,.469,.468,845,1198,.705,595,1403,1998,1064,393,193,736,1151,4560
