
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
5,Kwame Brown,C,6-11,270,March 10 1982,1,
35,Brian Cardinal,PF,6-8,245,May 2 1977,2,Purdue University
3,Juan Dixon,PG,6-3,164,October 9 1978,R,University of Maryland
15,Anthony Goldwire,PG,6-1,182,September 6 1971,4,University of Houston
00,Brendan Haywood,C,7-0,268,November 27 1979,1,University of North Carolina
20,Larry Hughes,PG,6-5,184,January 23 1979,4,Saint Louis University
1,Jared Jeffries,SF,6-11,230,November 25 1981,R,Indiana University
23,Michael Jordan,SF,6-6,195,February 17 1963,14,University of North Carolina
44,Christian Laettner,PF,6-11,235,August 17 1969,10,Duke University
10,Tyronn Lue,PG,6-0,175,May 3 1977,4,University of Nebraska
34,Charles Oakley,C,6-8,225,December 18 1963,17,Virginia Union University
2,Bryon Russell,SF,6-7,225,December 31 1970,9,California State University Long Beach
21,Bobby Simmons,SG,6-7,210,June 2 1980,1,DePaul University
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,7,University of North Carolina
36,Etan Thomas,PF,6-9,256,April 1 1978,1,Syracuse University
55,Jahidi White,C,6-9,290,February 19 1976,4,Georgetown University
