
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Gilbert Arenas,25,74,2942,24.0,.565,.377,.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,,9.3,1.5,10.8,.177,,7.0,-2.0,5.0,5.2
2,Antawn Jamison,30,70,2662,18.4,.545,.333,.270,5.6,19.0,12.1,8.8,1.5,1.0,7.5,22.8,,5.2,1.6,6.8,.123,,2.4,-1.5,0.9,1.9
3,Caron Butler,26,63,2474,18.3,.537,.074,.336,6.6,15.3,10.8,15.9,2.8,0.5,13.9,23.1,,3.4,1.9,5.3,.103,,1.4,0.5,1.9,2.5
4,DeShawn Stevenson,25,82,2419,12.9,.542,.243,.287,2.5,7.9,5.1,14.3,1.4,0.6,12.3,17.6,,2.7,0.3,3.1,.061,,0.2,-1.9,-1.7,0.2
5,Antonio Daniels,31,80,1761,15.0,.572,.162,.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,,4.1,0.2,4.3,.116,,0.3,-2.8,-2.6,-0.2
6,Brendan Haywood,27,77,1740,14.2,.571,.000,.592,12.5,19.2,15.8,4.1,1.0,3.9,16.7,13.6,,2.2,1.3,3.4,.095,,-1.3,0.5,-0.7,0.6
7,Jarvis Hayes,25,81,1626,10.7,.502,.335,.154,2.9,12.2,7.4,7.7,1.5,0.6,8.8,17.3,,1.0,0.5,1.5,.045,,-1.3,-2.1,-3.4,-0.6
8,Etan Thomas,28,65,1246,15.6,.585,.000,.498,12.2,22.9,17.4,3.6,0.9,5.5,17.4,14.4,,1.5,1.2,2.7,.105,,-2.0,0.9,-1.1,0.3
9,Darius Songaila,28,37,700,13.6,.567,.009,.240,7.0,15.2,11.0,9.0,1.2,1.1,14.7,18.3,,0.8,0.3,1.1,.078,,-1.3,-1.4,-2.7,-0.1
10,Andray Blatche,20,56,682,12.1,.471,.137,.249,12.6,19.8,16.1,8.8,1.3,3.6,18.3,17.2,,-0.1,0.5,0.5,.033,,-2.8,0.4,-2.4,-0.1
11,Roger Mason,26,62,492,7.2,.443,.570,.089,1.6,9.1,5.3,10.9,1.3,0.9,9.3,18.3,,-0.2,0.1,-0.1,-0.005,,-2.2,-3.4,-5.6,-0.5
12,Calvin Booth,30,44,380,9.6,.490,.030,.152,7.9,16.8,12.3,6.8,0.5,5.9,11.3,9.2,,0.3,0.3,0.6,.072,,-3.2,1.8,-1.4,0.1
13,Donell Taylor,24,47,369,10.3,.422,.121,.150,4.2,12.5,8.3,19.6,2.4,0.6,14.3,20.8,,-0.4,0.2,-0.2,-0.022,,-3.7,-1.5,-5.2,-0.3
14,Michael Ruffin,30,30,271,4.4,.322,.000,1.056,14.4,11.8,13.1,2.9,1.1,2.3,31.3,6.2,,-0.1,0.1,0.0,.002,,-3.9,0.6,-3.3,-0.1
15,James Lang,23,11,55,6.6,.491,.000,.556,10.2,12.9,11.5,5.2,0.0,4.2,15.2,10.6,,0.0,0.0,0.1,.047,,-3.5,-0.5,-4.0,0.0
16,Mike Hall,22,2,13,3.1,.250,.000,.000,8.6,9.1,8.8,11.0,0.0,0.0,0.0,13.5,,0.0,0.0,0.0,-0.073,,-5.9,-3.5,-9.4,0.0
