
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Andray Blatche,23,81,2256,17.6,.519,.044,.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,,0.8,2.6,3.4,.073,,-0.6,1.2,0.6,1.5
2,Caron Butler,29,47,1853,13.5,.506,.137,.304,4.2,15.6,9.8,9.6,1.9,0.6,12.6,22.0,,0.4,1.7,2.1,.054,,-1.0,0.3,-0.8,0.6
3,Mike Miller,29,54,1805,13.9,.623,.395,.196,3.5,18.2,10.7,18.4,1.1,0.5,19.6,14.7,,2.5,1.4,3.9,.104,,1.4,0.7,2.0,1.8
4,Randy Foye,26,70,1667,13.2,.516,.294,.234,1.1,8.0,4.5,22.6,1.0,0.5,12.1,21.1,,1.6,0.7,2.2,.064,,0.1,-2.6,-2.5,-0.2
5,Brendan Haywood,30,49,1614,16.2,.591,.000,.472,14.1,22.2,18.1,1.7,0.6,4.8,14.2,13.2,,2.6,1.9,4.5,.133,,-1.0,1.2,0.2,0.9
6,Antawn Jamison,33,41,1595,17.5,.528,.240,.310,7.0,19.3,13.1,5.8,1.4,0.4,7.1,24.3,,2.3,1.4,3.7,.112,,1.2,-1.7,-0.5,0.6
7,Nick Young,24,74,1421,10.7,.519,.305,.233,1.6,6.7,4.1,5.7,1.0,0.4,8.3,21.4,,0.9,0.5,1.4,.046,,-1.2,-3.3,-4.5,-0.9
8,Gilbert Arenas,28,32,1169,18.7,.511,.294,.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,,0.9,0.9,1.8,.072,,3.8,-1.3,2.5,1.3
9,Earl Boykins,33,67,1117,12.9,.498,.149,.221,1.7,6.1,3.9,25.3,1.1,0.2,13.5,20.7,,0.6,0.3,1.0,.042,,-1.4,-3.3,-4.7,-0.8
10,JaVale McGee,22,60,968,17.0,.539,.003,.378,10.3,18.7,14.5,2.4,0.9,8.0,12.5,19.1,,0.8,1.3,2.1,.105,,-3.2,1.7,-1.5,0.1
11,James Singleton,28,32,766,11.8,.454,.079,.295,13.5,19.8,16.6,4.3,1.2,3.6,14.7,14.9,,0.1,0.9,0.9,.059,,-2.9,1.3,-1.6,0.1
12,Al Thornton,26,24,674,12.1,.517,.079,.333,5.2,12.3,8.7,7.1,1.6,1.5,12.7,19.1,,0.2,0.5,0.7,.051,,-2.0,-0.1,-2.0,0.0
13,Shaun Livingston,24,26,666,14.4,.582,.022,.259,2.0,8.1,5.0,28.6,0.9,1.0,19.5,17.4,,0.9,0.3,1.2,.085,,-0.6,-1.9,-2.5,-0.1
14,Fabricio Oberto,34,57,650,5.7,.654,.000,.304,5.9,12.8,9.3,11.1,0.9,1.1,36.2,6.9,,0.2,0.4,0.6,.047,,-2.9,0.9,-2.1,0.0
15,DeShawn Stevenson,28,40,616,3.3,.382,.602,.243,1.3,11.0,6.1,10.0,0.9,0.6,17.4,10.2,,-0.6,0.3,-0.3,-0.025,,-4.4,-0.4,-4.8,-0.4
16,Quinton Ross,28,25,261,0.3,.330,.145,.109,2.6,7.2,4.9,2.8,1.2,0.6,12.2,11.4,,-0.5,0.1,-0.4,-0.067,,-6.7,-0.8,-7.5,-0.4
17,Dominic McGuire,24,41,240,4.2,.355,.000,.125,8.0,21.4,14.6,4.8,0.9,1.0,19.2,9.9,,-0.3,0.2,-0.1,-0.015,,-6.5,0.3,-6.2,-0.3
18,Alonzo Gee,22,11,182,16.2,.564,.153,.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,,0.3,0.1,0.4,.108,,0.2,-1.6,-1.4,0.0
19,Cartier Martin,25,8,114,13.2,.491,.375,.188,8.0,13.3,10.6,10.2,1.4,0.7,10.4,23.0,,0.1,0.1,0.1,.061,,-0.2,-2.3,-2.5,0.0
20,Josh Howard,29,4,91,19.2,.529,.239,.435,5.0,11.6,8.2,8.2,1.7,1.7,5.2,28.8,,0.2,0.1,0.3,.139,,1.3,-3.1,-1.9,0.0
21,Mike James,34,4,46,5.5,.383,.300,.400,2.5,5.1,3.8,17.3,3.4,0.0,17.5,28.1,,-0.2,0.0,-0.1,-0.140,,-5.9,-2.5,-8.5,-0.1
22,Cedric Jackson,23,4,39,-0.2,.470,.273,.364,2.9,6.0,4.4,23.5,0.0,0.0,38.5,24.1,,-0.2,0.0,-0.2,-0.204,,-9.0,-4.4,-13.4,-0.1
23,Mike Harris,26,5,14,11.9,.515,.000,.667,8.1,25.0,16.4,0.0,3.7,0.0,0.0,12.6,,0.0,0.0,0.1,.179,,-4.0,-2.7,-6.7,0.0
24,Paul Davis,25,2,8,33.3,.512,.000,.500,0.0,0.0,0.0,73.8,0.0,9.5,0.0,27.6,,0.0,0.0,0.0,.295,,4.5,-9.2,-4.7,0.0
