
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Greg Ballard,27,79,2946,17.9,.519,.017,.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,,4.1,5.3,9.4,.154,,1.3,2.2,3.5,4.1
2,Rick Mahorn,23,80,2664,13.3,.531,.004,.287,6.2,22.4,14.4,8.0,1.0,2.9,15.0,17.0,,0.8,5.1,5.9,.107,,-2.0,3.3,1.3,2.2
3,Jeff Ruland,23,82,2214,18.8,.623,.004,.607,12.7,24.7,18.8,9.1,1.0,1.5,20.0,22.4,,3.7,4.1,7.8,.170,,1.0,1.5,2.6,2.6
4,Kevin Grevey,28,71,2164,11.7,.502,.096,.225,2.9,6.8,4.9,10.1,1.0,0.6,9.2,20.1,,1.2,2.4,3.6,.080,,-0.9,-0.3,-1.2,0.4
5,Spencer Haywood,32,76,2086,13.2,.535,.004,.314,7.7,14.3,11.1,4.6,1.0,1.8,15.6,22.4,,0.4,3.2,3.6,.083,,-2.2,0.3,-1.9,0.1
6,Frank Johnson,23,79,2027,12.0,.467,.097,.251,1.9,6.0,4.0,27.1,1.8,0.2,15.1,21.9,,-0.5,2.5,2.1,.049,,-1.5,-0.8,-2.3,-0.1
7,John Lucas,28,79,1940,15.2,.479,.036,.285,2.3,7.0,4.7,39.4,2.4,0.2,18.3,18.4,,1.1,2.7,3.9,.095,,-0.7,-0.6,-1.2,0.4
8,Don Collins,23,79,1609,15.1,.543,.018,.259,7.0,6.3,6.7,14.2,2.7,0.8,15.7,22.4,,0.9,2.5,3.4,.101,,0.3,1.1,1.5,1.4
9,Jim Chones,32,59,867,8.6,.481,.000,.269,5.0,18.1,11.7,9.6,0.8,2.1,17.7,11.2,,0.0,1.4,1.4,.076,,-4.1,2.7,-1.4,0.1
10,Charles Davis,23,54,575,10.7,.514,.011,.201,10.5,14.8,12.6,7.7,0.8,1.3,17.7,17.7,,0.0,0.8,0.9,.072,,-2.8,0.5,-2.3,0.0
11,Garry Witts,22,46,493,9.5,.650,.024,.476,6.5,7.2,6.9,10.2,1.7,0.5,25.6,11.6,,0.4,0.6,1.1,.104,,-1.6,1.4,-0.2,0.2
12,Brad Holland,25,13,185,8.2,.381,.041,.055,3.6,4.1,3.8,12.2,2.9,0.3,8.6,18.5,,-0.2,0.3,0.0,.005,,-4.1,0.3,-3.8,-0.1
13,Carlos Terry,25,13,60,3.1,.268,.200,.267,9.3,12.5,10.9,16.5,2.4,0.9,23.0,15.2,,-0.2,0.1,-0.1,-0.048,,-6.1,2.4,-3.7,0.0
