
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Greg Ballard,SF,6-7,215,January 29 1955,7,University of Oregon
22,Dudley Bradley,SG,6-6,195,March 19 1957,4,University of North Carolina
22,Don Collins,SG,6-6,190,November 28 1958,4,Washington State University
23,Charles Davis,SF,6-7,215,October 5 1958,3,Vanderbilt University
25,Darren Daye,SF,6-8,220,November 30 1960,1,University of California Los Angeles
15,Frank Johnson,PG,6-1,185,November 23 1958,3,Wake Forest University
23,Charles Jones,C,6-9,215,April 3 1957,1,Albany State University
44,Rick Mahorn,PF,6-10,240,September 21 1958,4,Hampton University
24,Jeff Malone,SG,6-4,205,June 28 1961,1,Mississippi State University
54,Tom McMillen,C,6-11,215,May 26 1952,9,University of Maryland
11,Cliff Robinson,PF,6-9,220,March 13 1960,5,University of Southern California
43,Jeff Ruland,C,6-10,240,December 16 1958,3,Iona College
32,Tom Sewell,SG,6-5,185,March 11 1962,R,Lamar University
1,Gus Williams,PG,6-2,175,October 10 1953,8,University of Southern California
3,Guy Williams,SF,6-9,200,July 1 1960,R,Washington State University
