
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Malone,25,80,79,2763,9.0,19.7,.457,0.1,0.3,.154,8.9,19.3,.462,4.9,5.5,.885,0.7,2.2,2.8,3.9,1.0,0.2,2.4,2.0,22.9
2,Moses Malone,31,73,70,2488,8.6,19.0,.454,0.0,0.2,.000,8.6,18.8,.458,8.2,10.0,.824,4.9,7.0,11.9,1.7,0.9,1.3,2.9,2.0,25.5
3,Terry Catledge,23,78,77,2149,6.9,14.0,.495,0.0,0.1,.000,6.9,13.9,.497,3.3,5.6,.594,4.2,5.2,9.4,0.9,0.7,0.2,2.4,3.3,17.2
4,Ennis Whatley,24,73,72,1816,4.9,10.2,.478,0.0,0.0,.000,4.9,10.2,.480,2.5,3.3,.764,1.1,2.7,3.8,7.8,1.8,0.2,2.7,3.4,12.3
5,John Williams,20,78,6,1773,5.7,12.7,.454,0.2,0.7,.222,5.6,11.9,.468,2.9,4.5,.646,2.6,4.8,7.4,3.9,2.6,0.6,2.5,3.5,14.6
6,Charles Jones,29,79,64,1609,2.6,5.6,.474,0.0,0.0,.000,2.6,5.5,.476,1.1,1.7,.632,3.2,4.7,8.0,1.8,1.5,3.7,1.7,5.6,6.4
7,Manute Bol,24,82,12,1552,2.4,5.4,.446,0.0,0.0,.000,2.4,5.3,.448,1.0,1.6,.672,1.9,6.4,8.4,0.3,0.5,7.0,1.4,4.4,5.8
8,Darwin Cook,28,82,2,1420,6.7,15.8,.426,0.1,0.6,.087,6.7,15.2,.439,2.1,2.6,.796,1.2,2.5,3.7,3.8,2.5,0.4,2.4,3.4,15.6
9,Jay Vincent,27,51,17,1386,7.1,15.9,.447,0.0,0.1,.000,7.1,15.8,.449,3.4,4.4,.769,1.8,3.7,5.5,2.2,1.0,0.4,2.0,3.3,17.6
10,Michael Adams,24,63,0,1303,4.4,10.9,.407,0.8,2.8,.275,3.6,8.0,.454,2.9,3.4,.847,1.0,2.3,3.4,6.7,2.3,0.2,2.2,2.4,12.5
11,Dan Roundfield,33,36,0,669,4.8,11.8,.409,0.1,0.3,.200,4.8,11.6,.414,3.1,3.9,.792,3.4,5.7,9.1,2.1,0.6,0.9,2.6,4.1,12.8
12,Frank Johnson,28,18,10,399,5.3,11.5,.461,0.0,0.1,.000,5.3,11.5,.465,3.2,4.4,.714,0.9,1.8,2.7,5.2,1.9,0.0,2.8,2.8,13.8
13,Jay Murphy,24,21,0,141,7.9,18.4,.431,0.0,0.0,,7.9,18.4,.431,2.3,4.1,.563,4.3,5.6,10.0,1.3,0.8,0.5,1.5,5.4,18.1
14,Mike O'Koren,28,15,0,123,4.7,12.3,.381,0.0,0.6,.000,4.7,11.7,.400,0.0,0.6,.000,1.8,2.3,4.1,3.8,0.6,0.0,1.8,2.9,9.4
15,Anthony Jones,24,16,1,114,4.4,10.4,.424,0.0,0.3,.000,4.4,10.1,.438,2.8,4.1,.692,0.3,2.5,2.8,2.2,3.2,0.3,3.5,3.5,11.7
