
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
14,Michael Adams,PG,5-10,162,January 19 1963,1,Boston College
10,Manute Bol,C,7-7,200,October 16 1962,1,University of Bridgeport
33,Terry Catledge,PF,6-8,220,August 22 1963,1,University of South Alabama
12,Darwin Cook,SG,6-3,184,August 6 1958,6,University of Portland
15,Frank Johnson,PG,6-1,185,November 23 1958,5,Wake Forest University
44,Anthony Jones,SG,6-6,195,September 13 1962,R,University of Nevada Las Vegas
23,Charles Jones,PF,6-9,215,April 3 1957,3,Albany State University
24,Jeff Malone,SG,6-4,205,June 28 1961,3,Mississippi State University
4,Moses Malone,C,6-10,215,March 23 1955,12,
42,Jay Murphy,PF,6-9,220,June 26 1962,2,Boston College
25,Mike O'Koren,SF,6-7,207,February 7 1958,6,University of North Carolina
5,Dan Roundfield,PF,6-8,205,May 26 1953,11,Central Michigan University
31,Jay Vincent,SF,6-7,220,June 10 1959,5,Michigan State University
2,Ennis Whatley,PG,6-3,177,August 11 1962,3,University of Alabama
34,John Williams,SF,6-8,235,October 26 1966,R,Louisiana State University
