
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Darrell Walker,28,81,81,2883,316,696,.454,2,21,.095,314,675,.465,.455,138,201,.687,173,541,714,652,139,30,173,220,772
2,Bernard King,33,82,82,2687,711,1459,.487,3,23,.130,708,1436,.493,.488,412,513,.803,129,275,404,376,51,7,248,230,1837
3,Jeff Malone,28,75,74,2567,781,1592,.491,1,6,.167,780,1586,.492,.491,257,293,.877,54,152,206,243,48,6,125,116,1820
4,Charles Jones,32,81,81,2240,94,185,.508,0,0,,94,185,.508,.508,68,105,.648,145,359,504,139,50,197,76,296,256
5,Mark Alarie,26,82,10,1893,371,785,.473,10,49,.204,361,736,.490,.479,108,133,.812,151,223,374,142,60,39,101,219,860
6,Harvey Grant,24,81,25,1846,284,601,.473,0,8,.000,284,593,.479,.473,96,137,.701,138,204,342,131,52,43,85,194,664
7,Ledell Eackles,23,78,8,1696,413,940,.439,19,59,.322,394,881,.447,.449,210,280,.750,74,101,175,182,50,4,143,157,1055
8,Steve Colter,27,73,1,977,142,297,.478,0,5,.000,142,292,.486,.478,77,95,.811,55,121,176,148,47,10,38,98,361
9,Melvin Turpin,29,59,12,818,110,209,.526,0,2,.000,110,207,.531,.526,56,71,.789,88,133,221,27,15,47,45,135,276
10,Tom Hammonds,22,61,8,805,129,295,.437,0,1,.000,129,294,.439,.437,63,98,.643,61,107,168,51,11,14,46,98,321
11,John Williams,23,18,18,632,130,274,.474,2,18,.111,128,256,.500,.478,65,84,.774,27,109,136,84,21,9,43,33,327
12,Doug Roth,22,42,0,412,37,86,.430,0,1,.000,37,85,.435,.430,7,14,.500,44,76,120,20,8,13,16,70,81
13,Ed Horton,22,45,10,374,80,162,.494,0,4,.000,80,158,.506,.494,42,69,.609,59,49,108,19,9,5,39,63,202
,Team Totals,,82,,19830,3598,7581,.475,37,197,.188,3561,7384,.482,.477,1599,2093,.764,1198,2450,3648,2214,561,424,1201,1929,8832
