
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Calbert Cheaney,23,78,71,2651,9.8,21.6,.453,1.8,5.4,.339,8.0,16.2,.492,3.3,4.1,.812,2.0,4.1,6.1,3.4,1.5,0.4,2.9,4.1,24.8,,106,113
2,Juwan Howard,21,65,52,2348,9.8,20.1,.489,0.0,0.2,.000,9.8,20.0,.492,4.2,6.3,.664,4.0,7.8,11.8,3.6,1.1,0.3,3.6,5.1,23.9,,104,112
3,Scott Skiles,30,62,62,2077,6.5,14.3,.455,2.3,5.6,.421,4.1,8.7,.476,4.4,4.9,.886,0.6,3.3,3.9,11.1,1.7,0.1,4.2,3.3,19.7,,115,114
4,Chris Webber,21,54,52,2067,11.4,23.0,.495,1.0,3.6,.276,10.4,19.5,.535,2.9,5.7,.502,4.9,7.8,12.7,6.3,2.0,2.1,4.1,4.6,26.7,,105,108
5,Gheorghe Muresan,23,73,58,1720,8.9,16.0,.560,0.0,0.0,,8.9,16.0,.560,3.7,5.2,.709,5.3,9.1,14.4,1.1,1.4,3.8,3.4,7.6,21.6,,110,107
6,Doug Overton,25,82,20,1704,6.2,14.8,.416,1.6,3.7,.424,4.6,11.1,.413,3.2,3.7,.872,0.8,3.5,4.3,7.3,1.6,0.1,3.1,3.8,17.2,,106,114
7,Mitchell Butler,24,76,5,1554,7.0,16.6,.421,1.5,4.6,.326,5.5,12.0,.458,4.0,6.0,.665,1.4,4.2,5.6,3.0,2.0,0.3,3.5,5.1,19.5,,97,112
8,Rex Chapman,27,45,29,1468,8.8,22.1,.397,3.0,9.5,.314,5.8,12.6,.460,4.7,5.5,.862,0.8,3.1,3.9,4.4,2.3,0.5,2.1,2.9,25.3,,109,113
9,Don MacLean,25,39,20,1052,7.6,17.4,.438,0.5,1.9,.250,7.1,15.5,.461,5.0,6.6,.765,2.2,5.7,8.0,2.5,0.7,0.1,2.1,4.7,20.8,,106,114
10,Anthony Tucker,25,62,13,982,5.0,10.9,.457,0.0,0.1,.000,5.0,10.8,.459,2.6,4.3,.614,2.3,6.5,8.8,3.5,2.4,0.6,2.9,6.7,12.6,,97,110
11,Kevin Duckworth,30,40,22,818,7.3,16.6,.442,0.1,0.6,.200,7.2,16.0,.451,2.8,4.3,.643,4.0,8.1,12.1,1.2,1.3,1.5,3.7,6.8,17.6,,92,110
12,Jim McIlvaine,22,55,0,534,3.2,6.8,.479,0.0,0.0,,3.2,6.8,.479,2.7,3.9,.683,3.8,6.2,10.0,1.0,1.0,5.7,1.8,9.0,9.1,,108,108
13,Larry Stewart,26,40,0,346,6.0,13.1,.461,0.0,0.3,.000,6.0,12.8,.471,2.9,4.4,.667,4.1,5.7,9.8,2.6,2.3,1.3,2.3,7.6,15.0,,104,110
14,Kenny Walker,30,24,0,266,3.4,8.0,.429,0.0,0.0,,3.4,8.0,.429,4.0,5.3,.750,3.6,5.3,9.0,1.3,1.0,1.0,2.9,8.0,10.9,,100,113
15,Tom Gugliotta,25,6,6,226,7.4,18.7,.398,0.9,1.8,.500,6.5,16.9,.387,5.8,7.4,.788,3.6,8.3,11.9,4.0,4.7,2.5,3.4,4.3,21.6,,102,102
16,Brian Oliver,26,6,0,42,4.8,10.9,.444,0.0,0.0,,4.8,10.9,.444,7.3,9.7,.750,0.0,4.8,4.8,4.8,0.0,0.0,3.6,9.7,16.9,,103,116
