Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Walt Bellamy,32,82,3187,19.0,.567,,.534,,,16.1,11.8,,,,,,7.8,2.5,10.3,.155,,,,,
2,Lou Hudson,27,77,3042,19.1,.549,,.279,,,6.2,16.2,,,,,,8.2,1.5,9.7,.154,,,,,
3,Jim Washington,28,67,2416,12.2,.506,,.351,,,12.1,6.7,,,,,,1.9,1.5,3.4,.067,,,,,
4,Herm Gilliam,25,82,2337,13.1,.491,,.224,,,7.0,22.0,,,,,,1.5,1.5,2.9,.061,,,,,
5,Pete Maravich,24,66,2302,17.5,.502,,.407,,,5.4,25.0,,,,,,2.9,1.4,4.2,.088,,,,,
6,Don Adams,24,70,2030,11.6,.455,,.350,,,11.9,9.2,,,,,,-0.5,1.3,0.8,.018,,,,,
7,Don May,26,75,1285,13.6,.542,,.345,,,8.2,6.1,,,,,,2.3,0.6,2.9,.110,,,,,
8,George Trapp,23,60,890,10.2,.437,,.358,,,10.0,8.0,,,,,,-0.7,0.5,-0.2,-0.012,,,,,
9,Bill Bridges,32,14,546,11.0,.434,,.328,,,17.0,9.3,,,,,,-0.3,0.4,0.2,.016,,,,,
10,Bob Christian,25,56,485,14.0,.521,,.430,,,18.2,7.7,,,,,,0.5,0.4,0.9,.092,,,,,
11,Larry Siegfried,32,21,335,7.6,.402,,.299,,,4.7,19.2,,,,,,-0.3,0.2,-0.1,-0.012,,,,,
12,Jeff Halliburton,22,37,288,12.4,.503,,.226,,,6.3,10.4,,,,,,0.3,0.1,0.4,.073,,,,,
13,Tom Payne,21,29,227,15.0,.483,,.447,,,14.8,9.7,,,,,,0.1,0.2,0.3,.060,,,,,
14,Milt Williams,26,10,127,14.3,.509,,.547,,,1.5,22.5,,,,,,0.2,0.1,0.2,.088,,,,,
15,Jim Davis,30,11,119,6.2,.318,,.545,,,14.8,8.2,,,,,,-0.3,0.1,-0.3,-0.101,,,,,
16,John Vallely,23,9,110,12.8,.512,,.465,,,4.9,11.7,,,,,,0.1,0.0,0.2,.081,,,,,
17,Shaler Halimon,26,1,4,-4.5,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,.007,,,,,
